item_id,trait,reverse_scored,text
bfi_01,extraversion,false,
bfi_02,agreeableness,true,
bfi_03,conscientiousness,false,
bfi_04,neuroticism,false,
bfi_05,openness,false,
bfi_06,extraversion,true,
bfi_07,agreeableness,false,
bfi_08,conscientiousness,true,
bfi_09,neuroticism,true,
bfi_10,openness,false,
bfi_11,extraversion,false,
bfi_12,agreeableness,true,
bfi_13,conscientiousness,false,
bfi_14,neuroticism,false,
bfi_15,openness,false,
bfi_16,extraversion,false,
bfi_17,agreeableness,false,
bfi_18,conscientiousness,true,
bfi_19,neuroticism,false,
bfi_20,openness,false,
bfi_21,extraversion,true,
bfi_22,agreeableness,false,
bfi_23,conscientiousness,true,
bfi_24,neuroticism,true,
bfi_25,openness,false,
bfi_26,extraversion,false,
bfi_27,agreeableness,true,
bfi_28,conscientiousness,false,
bfi_29,neuroticism,false,
bfi_30,openness,false,
bfi_31,extraversion,true,
bfi_32,agreeableness,false,
bfi_33,conscientiousness,false,
bfi_34,neuroticism,true,
bfi_35,openness,true,
bfi_36,extraversion,false,
bfi_37,agreeableness,true,
bfi_38,conscientiousness,false,
bfi_39,neuroticism,false,
bfi_40,openness,false,
bfi_41,openness,true,
bfi_42,agreeableness,false,
bfi_43,conscientiousness,true,
bfi_44,openness,false,
