condition,persona,action,count,proportion
as_only,aggressive,sc_001_act_001,28,0.09333333333333334
as_only,aggressive,sc_001_act_004,1,0.0033333333333333335
as_only,aggressive,sc_002_act_002,17,0.056666666666666664
as_only,aggressive,sc_002_act_003,10,0.03333333333333333
as_only,aggressive,sc_002_act_004,3,0.01
as_only,aggressive,sc_003_act_001,12,0.04
as_only,aggressive,sc_003_act_002,1,0.0033333333333333335
as_only,aggressive,sc_003_act_003,1,0.0033333333333333335
as_only,aggressive,sc_003_act_004,5,0.016666666666666666
as_only,aggressive,sc_004_act_001,13,0.043333333333333335
as_only,aggressive,sc_004_act_002,2,0.006666666666666667
as_only,aggressive,sc_004_act_003,4,0.013333333333333334
as_only,aggressive,sc_004_act_004,6,0.02
as_only,aggressive,sc_004_act_005,4,0.013333333333333334
as_only,aggressive,sc_005_act_001,4,0.013333333333333334
as_only,aggressive,sc_005_act_002,12,0.04
as_only,aggressive,sc_005_act_004,2,0.006666666666666667
as_only,aggressive,sc_006_act_001,2,0.006666666666666667
as_only,aggressive,sc_006_act_003,1,0.0033333333333333335
as_only,aggressive,sc_006_act_004,21,0.07
as_only,aggressive,sc_007_act_001,5,0.016666666666666666
as_only,aggressive,sc_007_act_002,1,0.0033333333333333335
as_only,aggressive,sc_007_act_003,2,0.006666666666666667
as_only,aggressive,sc_007_act_004,14,0.04666666666666667
as_only,aggressive,sc_008_act_001,5,0.016666666666666666
as_only,aggressive,sc_008_act_004,3,0.01
as_only,aggressive,sc_008_act_005,2,0.006666666666666667
as_only,aggressive,sc_009_act_001,5,0.016666666666666666
as_only,aggressive,sc_009_act_005,2,0.006666666666666667
as_only,aggressive,sc_010_act_001,14,0.04666666666666667
as_only,aggressive,sc_010_act_004,2,0.006666666666666667
as_only,aggressive,unknown,96,0.32
as_only,cooperative,sc_001_act_001,15,0.05
as_only,cooperative,sc_001_act_003,1,0.0033333333333333335
as_only,cooperative,sc_001_act_004,8,0.02666666666666667
as_only,cooperative,sc_002_act_001,1,0.0033333333333333335
as_only,cooperative,sc_002_act_002,4,0.013333333333333334
as_only,cooperative,sc_002_act_004,22,0.07333333333333333
as_only,cooperative,sc_003_act_003,1,0.0033333333333333335
as_only,cooperative,sc_003_act_004,8,0.02666666666666667
as_only,cooperative,sc_004_act_003,1,0.0033333333333333335
as_only,cooperative,sc_004_act_004,13,0.043333333333333335
as_only,cooperative,sc_005_act_003,6,0.02
as_only,cooperative,sc_005_act_004,3,0.01
as_only,cooperative,sc_006_act_001,2,0.006666666666666667
as_only,cooperative,sc_006_act_004,9,0.03
as_only,cooperative,sc_007_act_002,3,0.01
as_only,cooperative,sc_007_act_003,6,0.02
as_only,cooperative,sc_007_act_004,14,0.04666666666666667
as_only,cooperative,sc_008_act_003,1,0.0033333333333333335
as_only,cooperative,sc_008_act_005,3,0.01
as_only,cooperative,sc_009_act_001,2,0.006666666666666667
as_only,cooperative,sc_009_act_003,5,0.016666666666666666
as_only,cooperative,sc_009_act_004,1,0.0033333333333333335
as_only,cooperative,sc_009_act_005,2,0.006666666666666667
as_only,cooperative,sc_010_act_004,14,0.04666666666666667
as_only,cooperative,unknown,155,0.5166666666666667
neutral_baseline,aggressive,sc_001_act_001,16,0.05333333333333334
neutral_baseline,aggressive,sc_001_act_003,1,0.0033333333333333335
neutral_baseline,aggressive,sc_001_act_004,12,0.04
neutral_baseline,aggressive,sc_002_act_002,5,0.016666666666666666
neutral_baseline,aggressive,sc_002_act_003,6,0.02
neutral_baseline,aggressive,sc_002_act_004,19,0.06333333333333334
neutral_baseline,aggressive,sc_003_act_003,3,0.01
neutral_baseline,aggressive,sc_003_act_004,8,0.02666666666666667
neutral_baseline,aggressive,sc_004_act_001,3,0.01
neutral_baseline,aggressive,sc_004_act_003,2,0.006666666666666667
neutral_baseline,aggressive,sc_004_act_004,15,0.05
neutral_baseline,aggressive,sc_004_act_005,4,0.013333333333333334
neutral_baseline,aggressive,sc_005_act_002,5,0.016666666666666666
neutral_baseline,aggressive,sc_005_act_003,2,0.006666666666666667
neutral_baseline,aggressive,sc_005_act_004,5,0.016666666666666666
neutral_baseline,aggressive,sc_006_act_001,1,0.0033333333333333335
neutral_baseline,aggressive,sc_006_act_003,3,0.01
neutral_baseline,aggressive,sc_006_act_004,20,0.06666666666666667
neutral_baseline,aggressive,sc_007_act_003,2,0.006666666666666667
neutral_baseline,aggressive,sc_007_act_004,14,0.04666666666666667
neutral_baseline,aggressive,sc_008_act_004,4,0.013333333333333334
neutral_baseline,aggressive,sc_008_act_005,4,0.013333333333333334
neutral_baseline,aggressive,sc_009_act_001,6,0.02
neutral_baseline,aggressive,sc_010_act_001,1,0.0033333333333333335
neutral_baseline,aggressive,sc_010_act_004,11,0.03666666666666667
neutral_baseline,aggressive,unknown,128,0.4266666666666667
neutral_baseline,cooperative,sc_001_act_001,15,0.05
neutral_baseline,cooperative,sc_001_act_003,4,0.013333333333333334
neutral_baseline,cooperative,sc_001_act_004,10,0.03333333333333333
neutral_baseline,cooperative,sc_002_act_002,5,0.016666666666666666
neutral_baseline,cooperative,sc_002_act_003,15,0.05
neutral_baseline,cooperative,sc_002_act_004,10,0.03333333333333333
neutral_baseline,cooperative,sc_003_act_003,3,0.01
neutral_baseline,cooperative,sc_003_act_004,5,0.016666666666666666
neutral_baseline,cooperative,sc_004_act_001,2,0.006666666666666667
neutral_baseline,cooperative,sc_004_act_002,1,0.0033333333333333335
neutral_baseline,cooperative,sc_004_act_003,1,0.0033333333333333335
neutral_baseline,cooperative,sc_004_act_004,6,0.02
neutral_baseline,cooperative,sc_004_act_005,11,0.03666666666666667
neutral_baseline,cooperative,sc_005_act_002,6,0.02
neutral_baseline,cooperative,sc_005_act_003,1,0.0033333333333333335
neutral_baseline,cooperative,sc_005_act_004,3,0.01
neutral_baseline,cooperative,sc_006_act_001,2,0.006666666666666667
neutral_baseline,cooperative,sc_006_act_004,17,0.056666666666666664
neutral_baseline,cooperative,sc_007_act_001,1,0.0033333333333333335
neutral_baseline,cooperative,sc_007_act_003,1,0.0033333333333333335
neutral_baseline,cooperative,sc_007_act_004,15,0.05
neutral_baseline,cooperative,sc_007_act_005,1,0.0033333333333333335
neutral_baseline,cooperative,sc_008_act_004,4,0.013333333333333334
neutral_baseline,cooperative,sc_008_act_005,4,0.013333333333333334
neutral_baseline,cooperative,sc_009_act_001,5,0.016666666666666666
neutral_baseline,cooperative,sc_009_act_004,4,0.013333333333333334
neutral_baseline,cooperative,sc_010_act_004,11,0.03666666666666667
neutral_baseline,cooperative,sc_010_act_005,1,0.0033333333333333335
neutral_baseline,cooperative,unknown,136,0.4533333333333333
prompt_baseline,aggressive,sc_001_act_001,28,0.09333333333333334
prompt_baseline,aggressive,sc_001_act_004,2,0.006666666666666667
prompt_baseline,aggressive,sc_002_act_001,19,0.06333333333333334
prompt_baseline,aggressive,sc_002_act_002,8,0.02666666666666667
prompt_baseline,aggressive,sc_002_act_004,3,0.01
prompt_baseline,aggressive,sc_003_act_001,19,0.06333333333333334
prompt_baseline,aggressive,sc_003_act_002,1,0.0033333333333333335
prompt_baseline,aggressive,sc_003_act_004,1,0.0033333333333333335
prompt_baseline,aggressive,sc_004_act_001,26,0.08666666666666667
prompt_baseline,aggressive,sc_004_act_002,2,0.006666666666666667
prompt_baseline,aggressive,sc_005_act_001,6,0.02
prompt_baseline,aggressive,sc_005_act_002,3,0.01
prompt_baseline,aggressive,sc_006_act_001,9,0.03
prompt_baseline,aggressive,sc_006_act_002,3,0.01
prompt_baseline,aggressive,sc_006_act_004,18,0.06
prompt_baseline,aggressive,sc_007_act_001,3,0.01
prompt_baseline,aggressive,sc_007_act_002,2,0.006666666666666667
prompt_baseline,aggressive,sc_007_act_004,20,0.06666666666666667
prompt_baseline,aggressive,sc_008_act_001,15,0.05
prompt_baseline,aggressive,sc_008_act_004,1,0.0033333333333333335
prompt_baseline,aggressive,sc_008_act_005,1,0.0033333333333333335
prompt_baseline,aggressive,sc_009_act_001,12,0.04
prompt_baseline,aggressive,sc_009_act_004,2,0.006666666666666667
prompt_baseline,aggressive,sc_010_act_001,14,0.04666666666666667
prompt_baseline,aggressive,unknown,82,0.2733333333333333
prompt_baseline,cooperative,sc_001_act_001,14,0.04666666666666667
prompt_baseline,cooperative,sc_001_act_003,2,0.006666666666666667
prompt_baseline,cooperative,sc_001_act_004,12,0.04
prompt_baseline,cooperative,sc_002_act_004,29,0.09666666666666666
prompt_baseline,cooperative,sc_003_act_003,1,0.0033333333333333335
prompt_baseline,cooperative,sc_003_act_004,6,0.02
prompt_baseline,cooperative,sc_004_act_004,18,0.06
prompt_baseline,cooperative,sc_004_act_005,1,0.0033333333333333335
prompt_baseline,cooperative,sc_005_act_003,4,0.013333333333333334
prompt_baseline,cooperative,sc_005_act_004,6,0.02
prompt_baseline,cooperative,sc_006_act_003,6,0.02
prompt_baseline,cooperative,sc_006_act_004,14,0.04666666666666667
prompt_baseline,cooperative,sc_007_act_003,3,0.01
prompt_baseline,cooperative,sc_007_act_004,20,0.06666666666666667
prompt_baseline,cooperative,sc_008_act_004,2,0.006666666666666667
prompt_baseline,cooperative,sc_009_act_003,2,0.006666666666666667
prompt_baseline,cooperative,sc_009_act_004,1,0.0033333333333333335
prompt_baseline,cooperative,sc_010_act_003,1,0.0033333333333333335
prompt_baseline,cooperative,sc_010_act_004,6,0.02
prompt_baseline,cooperative,unknown,152,0.5066666666666667
