condition,persona,action,count,proportion
as_only,aggressive,sc_001_act_001,1,0.5
as_only,aggressive,sc_002_act_003,1,0.5
as_only,cooperative,sc_001_act_004,1,0.5
as_only,cooperative,sc_002_act_004,1,0.5
neutral_baseline,aggressive,sc_001_act_004,1,0.5
neutral_baseline,aggressive,sc_002_act_002,1,0.5
neutral_baseline,cooperative,sc_001_act_004,1,0.5
neutral_baseline,cooperative,sc_002_act_002,1,0.5
prompt_baseline,aggressive,sc_001_act_001,1,0.5
prompt_baseline,aggressive,sc_002_act_001,1,0.5
prompt_baseline,cooperative,sc_001_act_003,1,0.5
prompt_baseline,cooperative,unknown,1,0.5
