condition,persona,action,count,proportion
as_only_neg,aggressive,sc_001_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_002_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_003_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_004_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_005_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_006_act_003,1,0.03333333333333333
as_only_neg,aggressive,sc_007_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_008_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_009_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_010_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_011_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_012_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_013_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_014_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_015_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_016_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_017_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_018_act_004,1,0.03333333333333333
as_only_neg,aggressive,sc_019_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_020_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_021_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_022_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_023_act_001,1,0.03333333333333333
as_only_neg,aggressive,sc_024_act_005,1,0.03333333333333333
as_only_neg,aggressive,sc_025_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_026_act_003,1,0.03333333333333333
as_only_neg,aggressive,sc_027_act_002,1,0.03333333333333333
as_only_neg,aggressive,sc_028_act_003,1,0.03333333333333333
as_only_neg,aggressive,sc_029_act_003,1,0.03333333333333333
as_only_neg,aggressive,sc_030_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_001_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_002_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_003_act_003,1,0.03333333333333333
as_only_neg,cooperative,sc_004_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_005_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_006_act_003,1,0.03333333333333333
as_only_neg,cooperative,sc_007_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_008_act_004,1,0.03333333333333333
as_only_neg,cooperative,sc_009_act_004,1,0.03333333333333333
