condition,persona,estimand,estimate,ci_low,ci_high,n_bootstrap,n_clusters,cluster_col
as_only_neg,aggressive,itt,0.6,0.43333333333333335,0.7666666666666667,1000,30,scenario_id
as_only_neg,aggressive,pp,0.6,0.43333333333333335,0.7666666666666667,1000,30,scenario_id
as_only_neg,cooperative,itt,0.7,0.5333333333333333,0.8666666666666667,1000,30,scenario_id
as_only_neg,cooperative,pp,0.7,0.5333333333333333,0.8666666666666667,1000,30,scenario_id
as_only_sep,aggressive,itt,0.6,0.43333333333333335,0.7666666666666667,1000,30,scenario_id
as_only_sep,aggressive,pp,0.6,0.43333333333333335,0.7666666666666667,1000,30,scenario_id
as_only_sep,cooperative,itt,0.7,0.5333333333333333,0.8666666666666667,1000,30,scenario_id
as_only_sep,cooperative,pp,0.7,0.5333333333333333,0.8666666666666667,1000,30,scenario_id
neutral_baseline,aggressive,itt,0.43333333333333335,0.26666666666666666,0.6,1000,30,scenario_id
neutral_baseline,aggressive,pp,0.43333333333333335,0.26666666666666666,0.6,1000,30,scenario_id
neutral_baseline,cooperative,itt,0.36666666666666664,0.2,0.5333333333333333,1000,30,scenario_id
neutral_baseline,cooperative,pp,0.36666666666666664,0.2,0.5333333333333333,1000,30,scenario_id
prompt_as,aggressive,itt,0.8,0.6333333333333333,0.9333333333333333,1000,30,scenario_id
prompt_as,aggressive,pp,0.8,0.6333333333333333,0.9333333333333333,1000,30,scenario_id
prompt_as,cooperative,itt,0.7333333333333333,0.5666666666666667,0.8666666666666667,1000,30,scenario_id
prompt_as,cooperative,pp,0.7333333333333333,0.5666666666666667,0.8666666666666667,1000,30,scenario_id
prompt_baseline,aggressive,itt,0.9,0.8,1.0,1000,30,scenario_id
prompt_baseline,aggressive,pp,0.9,0.8,1.0,1000,30,scenario_id
prompt_baseline,cooperative,itt,0.7666666666666667,0.6,0.9,1000,30,scenario_id
prompt_baseline,cooperative,pp,0.7666666666666667,0.6,0.9,1000,30,scenario_id
