term,estimate_log_odds,std_error,z_value,p_value,ci_low_log_odds,ci_high_log_odds,odds_ratio,or_ci_low,or_ci_high
Intercept,-0.16731215286981693,0.140266734269727,-1.1928142031743802,0.23294214631879892,-0.442229900267532,0.10760559452789814,0.8459355089223792,0.6426018841270696,1.1136084454963393
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_neg]",0.6823126036193802,0.2969027735743724,2.2981011440382013,0.021556033166085804,0.1003938605035598,1.2642313467352007,1.9784478113722164,1.1056062869816408,3.5403703727206755
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep]",0.6823126085864225,0.29690277377748575,2.298101159195578,0.02155603230360163,0.10039386507250725,1.2642313521003379,1.9784478211992504,1.1056062920330978,3.5403703917152485
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_as]",1.76096668570969,0.3272796100715357,5.380618381098607,7.423040547632354e-08,1.1195104370951676,2.4024229343242123,5.818058911252461,3.063354131586042,11.049917195593231
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_baseline]",2.523922721875602,0.3657092700140475,6.901445844614915,5.1475895653650075e-12,1.8071457238356352,3.240699719915569,12.477446340801002,6.093031394685492,25.55159445319164
C(persona)[T.cooperative],-0.4147115958677013,0.19752091705171038,-2.099583183684445,0.035765523337303484,-0.801845479482377,-0.02757771225302552,0.6605307530358449,0.4485005014236881,0.9727990812075747
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_neg]:C(persona)[T.cooperative]",0.9313762956615373,0.4291715967395366,2.1701722638154637,0.029993798417324403,0.09021542286449791,1.7725371684585767,2.5379998131253956,1.0944100192541681,5.885767617345403
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep]:C(persona)[T.cooperative]",0.9313763590199977,0.4291715931202954,2.1701724297463834,0.029993785851808907,0.09021549331654066,1.7725372247234548,2.537999973929161,1.0944100963575922,5.88576794850741
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_as]:C(persona)[T.cooperative]",0.10306241562957774,0.44554202218338484,0.23131918090356315,0.8170668465274642,-0.7701839014490024,0.9763087327081579,1.1085605984244122,0.46292792736607014,2.6546391516520167
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_baseline]:C(persona)[T.cooperative]",-0.4022749021299569,0.46632858659266624,-0.8626425951479153,0.38833400332329865,-1.3162621368130507,0.5117123325531368,0.6687968667339727,0.26813568566094825,1.668145170049341
