comparison,persona,diff,ci_low,ci_high,n_bootstrap,n_clusters
as_only_neg - neutral_baseline,aggressive,0.16666666666666663,0.0,0.3333333333333333,1000,30
as_only_neg - neutral_baseline,cooperative,0.3333333333333333,0.13333333333333336,0.5333333333333334,1000,30
as_only_sep - neutral_baseline,aggressive,0.16666666666666663,0.0,0.3333333333333333,1000,30
as_only_sep - neutral_baseline,cooperative,0.3333333333333333,0.1333333333333333,0.5333333333333334,1000,30
prompt_as - neutral_baseline,aggressive,0.3666666666666667,0.16666666666666663,0.5666666666666667,1000,30
prompt_as - neutral_baseline,cooperative,0.36666666666666664,0.1333333333333333,0.5666666666666667,1000,30
prompt_baseline - neutral_baseline,aggressive,0.4666666666666667,0.30000000000000004,0.6333333333333333,1000,30
prompt_baseline - neutral_baseline,cooperative,0.4000000000000001,0.19999999999999996,0.6000000000000001,1000,30
prompt_as - prompt_baseline,aggressive,-0.09999999999999998,-0.23333333333333328,0.0,1000,30
prompt_as - prompt_baseline,cooperative,-0.03333333333333344,-0.10000000000000009,0.0,1000,30
prompt_as - as_only_sep,aggressive,0.20000000000000007,0.06666666666666665,0.33333333333333337,1000,30
prompt_as - as_only_sep,cooperative,0.033333333333333326,-0.06666666666666676,0.13333333333333341,1000,30
