condition,persona,scenario_id,entropy
as_only_neg,aggressive,sc_001,0.0
as_only_neg,aggressive,sc_002,0.0
as_only_neg,aggressive,sc_003,0.0
as_only_neg,aggressive,sc_004,0.0
as_only_neg,aggressive,sc_005,0.0
as_only_neg,aggressive,sc_006,0.0
as_only_neg,aggressive,sc_007,0.0
as_only_neg,aggressive,sc_008,0.0
as_only_neg,aggressive,sc_009,0.0
as_only_neg,aggressive,sc_010,0.0
as_only_neg,aggressive,sc_011,0.0
as_only_neg,aggressive,sc_012,0.0
as_only_neg,aggressive,sc_013,0.0
as_only_neg,aggressive,sc_014,0.0
as_only_neg,aggressive,sc_015,0.0
as_only_neg,aggressive,sc_016,0.0
as_only_neg,aggressive,sc_017,0.0
as_only_neg,aggressive,sc_018,0.0
as_only_neg,aggressive,sc_019,0.0
as_only_neg,aggressive,sc_020,0.0
as_only_neg,aggressive,sc_021,0.0
as_only_neg,aggressive,sc_022,0.0
as_only_neg,aggressive,sc_023,0.0
as_only_neg,aggressive,sc_024,0.0
as_only_neg,aggressive,sc_025,0.0
as_only_neg,aggressive,sc_026,0.0
as_only_neg,aggressive,sc_027,0.0
as_only_neg,aggressive,sc_028,0.0
as_only_neg,aggressive,sc_029,0.0
as_only_neg,aggressive,sc_030,0.0
as_only_neg,cooperative,sc_001,0.0
as_only_neg,cooperative,sc_002,0.0
as_only_neg,cooperative,sc_003,0.0
as_only_neg,cooperative,sc_004,0.0
as_only_neg,cooperative,sc_005,0.0
as_only_neg,cooperative,sc_006,0.0
as_only_neg,cooperative,sc_007,0.0
as_only_neg,cooperative,sc_008,0.0
as_only_neg,cooperative,sc_009,0.0
as_only_neg,cooperative,sc_010,0.0
as_only_neg,cooperative,sc_011,0.0
as_only_neg,cooperative,sc_012,0.0
as_only_neg,cooperative,sc_013,0.0
as_only_neg,cooperative,sc_014,0.0
as_only_neg,cooperative,sc_015,0.0
as_only_neg,cooperative,sc_016,0.0
as_only_neg,cooperative,sc_017,0.0
as_only_neg,cooperative,sc_018,0.0
as_only_neg,cooperative,sc_019,0.0
as_only_neg,cooperative,sc_020,0.0
as_only_neg,cooperative,sc_021,0.0
as_only_neg,cooperative,sc_022,0.0
as_only_neg,cooperative,sc_023,0.0
as_only_neg,cooperative,sc_024,0.0
as_only_neg,cooperative,sc_025,0.0
as_only_neg,cooperative,sc_026,0.0
as_only_neg,cooperative,sc_027,0.0
as_only_neg,cooperative,sc_028,0.0
as_only_neg,cooperative,sc_029,0.0
as_only_neg,cooperative,sc_030,0.0
as_only_sep,aggressive,sc_001,0.0
as_only_sep,aggressive,sc_002,0.0
as_only_sep,aggressive,sc_003,0.0
as_only_sep,aggressive,sc_004,0.0
as_only_sep,aggressive,sc_005,0.0
as_only_sep,aggressive,sc_006,0.0
as_only_sep,aggressive,sc_007,0.0
as_only_sep,aggressive,sc_008,0.0
as_only_sep,aggressive,sc_009,0.0
as_only_sep,aggressive,sc_010,0.0
as_only_sep,aggressive,sc_011,0.0
as_only_sep,aggressive,sc_012,0.0
as_only_sep,aggressive,sc_013,0.0
