condition,persona,action,count,proportion
as_only,aggressive,sc_001_act_001,5,0.3333333333333333
as_only,aggressive,sc_002_act_002,5,0.3333333333333333
as_only,aggressive,sc_003_act_001,5,0.3333333333333333
as_only,cooperative,sc_001_act_004,5,0.3333333333333333
as_only,cooperative,sc_002_act_002,5,0.3333333333333333
as_only,cooperative,sc_003_act_004,5,0.3333333333333333
neutral_baseline,aggressive,sc_001_act_001,5,0.3333333333333333
neutral_baseline,aggressive,sc_002_act_002,5,0.3333333333333333
neutral_baseline,aggressive,sc_003_act_001,5,0.3333333333333333
neutral_baseline,cooperative,sc_001_act_001,5,0.3333333333333333
neutral_baseline,cooperative,sc_002_act_002,5,0.3333333333333333
neutral_baseline,cooperative,sc_003_act_001,5,0.3333333333333333
prompt_baseline,aggressive,sc_001_act_002,5,0.3333333333333333
prompt_baseline,aggressive,sc_002_act_002,5,0.3333333333333333
prompt_baseline,aggressive,sc_003_act_001,5,0.3333333333333333
prompt_baseline,cooperative,sc_001_act_004,5,0.3333333333333333
prompt_baseline,cooperative,sc_002_act_004,5,0.3333333333333333
prompt_baseline,cooperative,sc_003_act_003,5,0.3333333333333333
