condition,persona,scenario_id,entropy
as_only_neg,aggressive,sc_001,0.0
as_only_neg,aggressive,sc_002,0.0
as_only_neg,aggressive,sc_003,0.0
as_only_neg,cooperative,sc_001,0.0
as_only_neg,cooperative,sc_002,0.0
as_only_neg,cooperative,sc_003,0.0
as_only_sep,aggressive,sc_001,0.0
as_only_sep,aggressive,sc_002,0.0
as_only_sep,aggressive,sc_003,0.0
as_only_sep,cooperative,sc_001,0.0
as_only_sep,cooperative,sc_002,0.0
as_only_sep,cooperative,sc_003,0.0
neutral_baseline,aggressive,sc_001,0.0
neutral_baseline,aggressive,sc_002,0.0
neutral_baseline,aggressive,sc_003,0.0
neutral_baseline,cooperative,sc_001,0.0
neutral_baseline,cooperative,sc_002,0.0
neutral_baseline,cooperative,sc_003,0.0
prompt_baseline,aggressive,sc_001,0.0
prompt_baseline,aggressive,sc_002,0.0
prompt_baseline,aggressive,sc_003,0.0
prompt_baseline,cooperative,sc_001,0.0
prompt_baseline,cooperative,sc_002,0.0
prompt_baseline,cooperative,sc_003,0.0
