condition,persona,action,count,proportion
as_only_neg,aggressive,sc_001_act_001,5,0.3333333333333333
as_only_neg,aggressive,sc_002_act_002,5,0.3333333333333333
as_only_neg,aggressive,sc_003_act_001,5,0.3333333333333333
as_only_neg,cooperative,sc_001_act_004,5,0.3333333333333333
as_only_neg,cooperative,sc_002_act_002,5,0.3333333333333333
as_only_neg,cooperative,sc_003_act_004,5,0.3333333333333333
as_only_orth,aggressive,sc_001_act_001,5,0.3333333333333333
as_only_orth,aggressive,sc_002_act_002,5,0.3333333333333333
as_only_orth,aggressive,sc_003_act_001,5,0.3333333333333333
as_only_orth,cooperative,sc_001_act_004,5,0.3333333333333333
as_only_orth,cooperative,sc_002_act_002,5,0.3333333333333333
as_only_orth,cooperative,sc_003_act_003,5,0.3333333333333333
as_only_sep,aggressive,sc_001_act_001,5,0.3333333333333333
as_only_sep,aggressive,sc_002_act_002,5,0.3333333333333333
as_only_sep,aggressive,sc_003_act_001,5,0.3333333333333333
as_only_sep,cooperative,sc_001_act_004,5,0.3333333333333333
as_only_sep,cooperative,sc_002_act_002,5,0.3333333333333333
as_only_sep,cooperative,sc_003_act_004,5,0.3333333333333333
as_only_sep_neutral_anchor,aggressive,sc_001_act_001,5,0.3333333333333333
as_only_sep_neutral_anchor,aggressive,sc_002_act_002,5,0.3333333333333333
as_only_sep_neutral_anchor,aggressive,sc_003_act_001,5,0.3333333333333333
as_only_sep_neutral_anchor,cooperative,sc_001_act_001,5,0.3333333333333333
as_only_sep_neutral_anchor,cooperative,sc_002_act_002,5,0.3333333333333333
as_only_sep_neutral_anchor,cooperative,sc_003_act_001,5,0.3333333333333333
neutral_baseline,aggressive,sc_001_act_001,5,0.3333333333333333
neutral_baseline,aggressive,sc_002_act_002,5,0.3333333333333333
neutral_baseline,aggressive,sc_003_act_001,5,0.3333333333333333
neutral_baseline,cooperative,sc_001_act_001,5,0.3333333333333333
neutral_baseline,cooperative,sc_002_act_002,5,0.3333333333333333
neutral_baseline,cooperative,sc_003_act_001,5,0.3333333333333333
prompt_baseline,aggressive,sc_001_act_002,5,0.3333333333333333
prompt_baseline,aggressive,sc_002_act_002,5,0.3333333333333333
prompt_baseline,aggressive,sc_003_act_001,5,0.3333333333333333
prompt_baseline,cooperative,sc_001_act_004,5,0.3333333333333333
prompt_baseline,cooperative,sc_002_act_004,5,0.3333333333333333
prompt_baseline,cooperative,sc_003_act_003,5,0.3333333333333333
