term,estimate_log_odds,std_error,z_value,p_value,ci_low_log_odds,ci_high_log_odds,odds_ratio,or_ci_low,or_ci_high
Intercept,3.074572757277002,0.2722208216612259,11.29440701308019,1.3984473495090436e-29,2.541029750979098,3.6081157635749057,21.64063413267537,12.69273459941852,36.89646561157662
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_neg]",2.046108179756448,0.5997608395732564,3.4115401419210714,0.0006459698920872502,0.8705985348553604,3.221617824657536,7.737728582633963,2.3883399305002766,25.068644062727437
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_orth]",1.3298288359358257,0.6103414217147687,2.1788277652852726,0.02934446551283915,0.13358163110190624,2.526076040769745,3.780396264199458,1.1429145597021224,12.504343210132857
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep]",2.046108470709497,0.5997609602134751,3.4115399408144507,0.0006459703686009224,0.8705985893579253,3.2216183520610686,7.737730833950012,2.388340060670932,25.068657284022354
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep_neutral_anchor]",0.3992097120127206,0.861589709721522,0.46334085413084936,0.6431200664050251,-1.2894750884917823,2.0878945125172237,1.4906461922442635,0.2754153138212758,8.06791038458469
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_baseline]",2.046108354082641,0.5997609372865254,3.4115398767711813,0.0006459705203488223,0.8705985176670652,3.2216181904982166,7.737729931522844,2.388339889448785,25.068653233858914
C(persona)[T.cooperative],-6.106135474064147,0.2950094347201738,-20.698102350035068,3.602792631299237e-95,-6.684343341215208,-5.527927606913086,0.002229148791862193,0.0012503355280894816,0.003974216699939325
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_neg]:C(persona)[T.cooperative]",1.4485462737732757,0.6146273626295473,2.3567878064783687,0.0184337769074841,0.24389877910652347,2.653193768440028,4.256921616270993,1.2762151443142191,14.19931563091806
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_orth]:C(persona)[T.cooperative]",0.1851129658934988,0.6421554689899722,0.2882681450718743,0.7731414891963685,-1.0734886258022742,1.443714557589272,1.2033543704514593,0.34181397392358615,4.236402989212922
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep]:C(persona)[T.cooperative]",1.448546138515586,0.614627696231909,2.356786307216826,0.018433851326685576,0.2438979900002196,2.6531942870309524,4.256921040489648,1.276214137245201,14.199322994556187
"C(condition, Treatment(reference='neutral_baseline'))[T.as_only_sep_neutral_anchor]:C(persona)[T.cooperative]",-2.5710329458660417,1.1738015783797426,-2.1903471534047245,0.028499069527469948,-4.871641764486607,-0.2704241272454766,0.0764565291654451,0.007660777764974472,0.7630557929448091
"C(condition, Treatment(reference='neutral_baseline'))[T.prompt_baseline]:C(persona)[T.cooperative]",1.4485462089721917,0.6146276270895685,2.356786686975751,0.018433832476476696,0.2438981959733224,2.653194221971061,4.256921340417866,1.2762144001110138,14.199322070749808
