alpha,layer_group,condition,persona,n_total,n_valid,parse_ok_rate,unknown_rate,align_itt,align_itt_ci_low,align_itt_ci_high,align_itt_vs_chance,align_pp,align_pp_ci_low,align_pp_ci_high,align_pp_vs_chance,chance_alignment_rate,entropy,unique_actions
0.5,early,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
0.5,early,as_only_sep,cooperative,50,50,1.0,0.0,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.4,1.6094379124341005,5
1.0,early,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
1.0,early,as_only_sep,cooperative,50,50,1.0,0.0,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.4,1.6094379124341005,5
2.0,early,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
2.0,early,as_only_sep,cooperative,50,50,1.0,0.0,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.4,1.6094379124341005,5
4.0,early,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
4.0,early,as_only_sep,cooperative,50,50,1.0,0.0,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.4,1.6094379124341005,5
8.0,early,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
8.0,early,as_only_sep,cooperative,50,50,1.0,0.0,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.0,6.938893903907228e-18,0.0713475991333587,-0.4,0.4,1.6094379124341005,5
0.5,middle,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
0.5,middle,as_only_sep,cooperative,50,50,1.0,0.0,0.2,0.1124375001577611,0.3303710593222542,-0.2,0.2,0.1124375001577611,0.3303710593222542,-0.2,0.4,1.6094379124341005,5
1.0,middle,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
1.0,middle,as_only_sep,cooperative,50,50,1.0,0.0,0.2,0.1124375001577611,0.3303710593222542,-0.2,0.2,0.1124375001577611,0.3303710593222542,-0.2,0.4,1.6094379124341005,5
2.0,middle,as_only_sep,aggressive,50,50,1.0,0.0,1.0,0.9286524008666414,1.0,0.6,1.0,0.9286524008666414,1.0,0.6,0.4,1.6094379124341005,5
2.0,middle,as_only_sep,cooperative,50,50,1.0,0.0,0.6,0.4618143774758936,0.7239161026974346,0.1999999999999999,0.6,0.4618143774758936,0.7239161026974346,0.1999999999999999,0.4,1.6094379124341005,5
