vector_a,vector_b,cosine_mean
neg.aggressive,neg.aggressive,1.0000000132454767
neg.aggressive,neg.cooperative,-1.0000000132454767
neg.aggressive,sep_neutral_anchor.aggressive,0.43605696296112406
neg.aggressive,sep_neutral_anchor.cooperative,-0.2609286300010151
neg.aggressive,sep_orthogonalized.aggressive,0.9539810617764791
neg.aggressive,sep_orthogonalized.cooperative,-0.9539914396074083
neg.cooperative,neg.aggressive,-1.0000000132454767
neg.cooperative,neg.cooperative,1.0000000132454767
neg.cooperative,sep_neutral_anchor.aggressive,-0.43605696296112406
neg.cooperative,sep_neutral_anchor.cooperative,0.2609286300010151
neg.cooperative,sep_orthogonalized.aggressive,-0.9539810617764791
neg.cooperative,sep_orthogonalized.cooperative,0.9539914396074083
sep_neutral_anchor.aggressive,neg.aggressive,0.43605696296112406
sep_neutral_anchor.aggressive,neg.cooperative,-0.43605696296112406
sep_neutral_anchor.aggressive,sep_neutral_anchor.aggressive,0.9999999933772616
sep_neutral_anchor.aggressive,sep_neutral_anchor.cooperative,0.717225001917945
sep_neutral_anchor.aggressive,sep_orthogonalized.aggressive,0.3665548000070784
sep_neutral_anchor.aggressive,sep_orthogonalized.cooperative,-0.36655520564979976
sep_neutral_anchor.cooperative,neg.aggressive,-0.2609286300010151
sep_neutral_anchor.cooperative,neg.cooperative,0.2609286300010151
sep_neutral_anchor.cooperative,sep_neutral_anchor.aggressive,0.717225001917945
sep_neutral_anchor.cooperative,sep_neutral_anchor.cooperative,0.9999999602635702
sep_neutral_anchor.cooperative,sep_orthogonalized.aggressive,-0.3662247376309501
sep_neutral_anchor.cooperative,sep_orthogonalized.cooperative,0.36622432702117497
sep_orthogonalized.aggressive,neg.aggressive,0.9539810617764791
sep_orthogonalized.aggressive,neg.cooperative,-0.9539810617764791
sep_orthogonalized.aggressive,sep_neutral_anchor.aggressive,0.3665548000070784
sep_orthogonalized.aggressive,sep_neutral_anchor.cooperative,-0.3662247376309501
sep_orthogonalized.aggressive,sep_orthogonalized.aggressive,1.0000000264909532
sep_orthogonalized.aggressive,sep_orthogonalized.cooperative,-0.9999991059303284
sep_orthogonalized.cooperative,neg.aggressive,-0.9539914396074083
sep_orthogonalized.cooperative,neg.cooperative,0.9539914396074083
sep_orthogonalized.cooperative,sep_neutral_anchor.aggressive,-0.36655520564979976
sep_orthogonalized.cooperative,sep_neutral_anchor.cooperative,0.36622432702117497
sep_orthogonalized.cooperative,sep_orthogonalized.aggressive,-0.9999991059303284
sep_orthogonalized.cooperative,sep_orthogonalized.cooperative,0.9999999867545234
