left,right,layer,cosine_similarity
aggressive,contrast,6,-0.08048651367425919
aggressive,contrast,9,-0.004433455877006054
aggressive,contrast,12,0.09752970188856125
aggressive,contrast,18,0.3589359223842621
aggressive,contrast,21,0.6236540079116821
aggressive,contrast,24,0.6751469969749451
aggressive,contrast,30,0.7205172777175903
aggressive,contrast,33,0.723253607749939
aggressive,contrast,35,0.8103951215744019
aggressive,contrast,mean,0.43605696296112406
aggressive,contrast_explicit.aggressive,6,-0.08048651367425919
aggressive,contrast_explicit.aggressive,9,-0.004433455877006054
aggressive,contrast_explicit.aggressive,12,0.09752970188856125
aggressive,contrast_explicit.aggressive,18,0.3589359223842621
aggressive,contrast_explicit.aggressive,21,0.6236540079116821
aggressive,contrast_explicit.aggressive,24,0.6751469969749451
aggressive,contrast_explicit.aggressive,30,0.7205172777175903
aggressive,contrast_explicit.aggressive,33,0.723253607749939
aggressive,contrast_explicit.aggressive,35,0.8103951215744019
aggressive,contrast_explicit.aggressive,mean,0.43605696296112406
aggressive,contrast_explicit.cooperative,6,0.08048651367425919
aggressive,contrast_explicit.cooperative,9,0.004433455877006054
aggressive,contrast_explicit.cooperative,12,-0.09752970188856125
aggressive,contrast_explicit.cooperative,18,-0.3589359223842621
aggressive,contrast_explicit.cooperative,21,-0.6236540079116821
aggressive,contrast_explicit.cooperative,24,-0.6751469969749451
aggressive,contrast_explicit.cooperative,30,-0.7205172777175903
aggressive,contrast_explicit.cooperative,33,-0.723253607749939
aggressive,contrast_explicit.cooperative,35,-0.8103951215744019
aggressive,contrast_explicit.cooperative,mean,-0.43605696296112406
aggressive,cooperative,6,0.8810292482376099
aggressive,cooperative,9,0.8952296376228333
aggressive,cooperative,12,0.8105941414833069
aggressive,cooperative,18,0.7745914459228516
aggressive,cooperative,21,0.663080096244812
aggressive,cooperative,24,0.6075814962387085
aggressive,cooperative,30,0.5772657990455627
aggressive,cooperative,33,0.6002225279808044
aggressive,cooperative,35,0.6454306244850159
aggressive,cooperative,mean,0.717225001917945
aggressive,orthogonalized.aggressive,6,0.2445315420627594
aggressive,orthogonalized.aggressive,9,0.22905895113945007
aggressive,orthogonalized.aggressive,12,0.30780479311943054
aggressive,orthogonalized.aggressive,18,0.33607906103134155
aggressive,orthogonalized.aggressive,21,0.4108816981315613
aggressive,orthogonalized.aggressive,24,0.4429735541343689
aggressive,orthogonalized.aggressive,30,0.4596594572067261
aggressive,orthogonalized.aggressive,33,0.44722500443458557
aggressive,orthogonalized.aggressive,35,0.42077913880348206
aggressive,orthogonalized.aggressive,mean,0.3665548000070784
aggressive,orthogonalized.cooperative,6,-0.24452811479568481
aggressive,orthogonalized.cooperative,9,-0.22892583906650543
aggressive,orthogonalized.cooperative,12,-0.3078557848930359
aggressive,orthogonalized.cooperative,18,-0.3360024392604828
aggressive,orthogonalized.cooperative,21,-0.4109245836734772
aggressive,orthogonalized.cooperative,24,-0.4430397152900696
aggressive,orthogonalized.cooperative,30,-0.4596458971500397
aggressive,orthogonalized.cooperative,33,-0.4471728801727295
aggressive,orthogonalized.cooperative,35,-0.4209015965461731
aggressive,orthogonalized.cooperative,mean,-0.36655520564979976
contrast,contrast_explicit.aggressive,6,1.0000001192092896
contrast,contrast_explicit.aggressive,9,0.9999999403953552
contrast,contrast_explicit.aggressive,12,1.0
contrast,contrast_explicit.aggressive,18,1.0000001192092896
contrast,contrast_explicit.aggressive,21,1.000000238418579
contrast,contrast_explicit.aggressive,24,0.9999997615814209
contrast,contrast_explicit.aggressive,30,1.0
contrast,contrast_explicit.aggressive,33,1.0
contrast,contrast_explicit.aggressive,35,0.9999999403953552
contrast,contrast_explicit.aggressive,mean,1.0000000132454767
contrast,contrast_explicit.cooperative,6,-1.0000001192092896
contrast,contrast_explicit.cooperative,9,-0.9999999403953552
