condition,reference_condition,trait,target_direction,delta_consistency,delta_bfi_target_attainment,delta_trait_target_attainment,consistency_ci_lower,consistency_ci_upper,consistency_ci_excludes_zero,trait_target_ci_lower,trait_target_ci_upper,trait_target_ci_excludes_zero
as_pas_only,baseline,agreeableness,high,0.022090802091257355,0.0,0.0348026114745254,0.016633318869381866,0.02799603204926633,True,0.030008254232581022,0.03949838589728762,True
as_pas_only,baseline,agreeableness,low,-0.02960909617105245,0.0,0.03839913727853532,-0.034821207535536844,-0.024354346590765796,True,0.03297092200841713,0.04439297412808403,True
as_pas_only,baseline,conscientiousness,high,0.023059491985078617,0.0,0.034367349231470556,0.018805252630391102,0.027723291269299285,True,0.030918072852403528,0.038154792566830936,True
as_pas_only,baseline,conscientiousness,low,-0.02416551414324697,0.0,0.030747765614819282,-0.02842738544235359,-0.020157309046002384,True,0.026606122266779057,0.0349287252846374,True
as_pas_only,baseline,extraversion,high,0.040520515573177485,0.0,0.040520515573177915,0.03668262499568323,0.04472600296274812,True,0.03668262499568324,0.04472600296274812,True
as_pas_only,baseline,extraversion,low,-0.02527368167426658,0.0,0.025273681674266496,-0.02842557896862808,-0.0219255875032886,True,0.021925587503288598,0.02842557896862808,True
as_pas_only,baseline,neuroticism,high,-0.032462724380527,0.0,0.04037085913586451,-0.036889550992184786,-0.028363853594340294,True,0.03662994063614984,0.04409131821887213,True
as_pas_only,baseline,neuroticism,low,0.017111387082966556,0.0,0.029127341607674374,0.012337372882549984,0.022171531760666253,True,0.025187707538929217,0.032864943770988614,True
as_pas_only,baseline,openness,high,0.03663826123613312,0.0,0.03751326103265492,0.03199561794959127,0.04097074860176014,True,0.033004447815026663,0.04167455070385713,True
as_pas_only,baseline,openness,low,-0.057380538505673484,0.0,0.05812390329905626,-0.06393402288713104,-0.05135692667988505,True,0.051428918900475164,0.06535627689094317,True
elaborate_prompt,baseline,agreeableness,high,-0.12978864858657202,0.1944444444444446,0.05292944104115099,-0.13852106555099344,-0.12095137029583575,True,0.04559705605203264,0.060407807968942594,True
elaborate_prompt,baseline,agreeableness,low,0.03685727804222416,0.11111111111111084,0.05639856687671908,0.029563120354715193,0.044266220666470256,True,0.04807757558116022,0.0647828448619194,True
elaborate_prompt,baseline,conscientiousness,high,-0.04510789341061561,0.08333333333333345,0.031558849861479055,-0.050090089997138446,-0.04021409383415153,True,0.02757222893005607,0.03611079467808335,True
elaborate_prompt,baseline,conscientiousness,low,-0.02526582338577399,0.02777777777777806,0.05941507173040235,-0.03137789247392675,-0.019155796104343387,True,0.052163073736491296,0.06627655237578099,True
elaborate_prompt,baseline,extraversion,high,-0.07943842529881451,0.125,0.045561574701184854,-0.08531606840806427,-0.0731420782312197,True,0.0396839315919357,0.051857921768780305,True
elaborate_prompt,baseline,extraversion,low,0.08215275326204374,0.125,0.03961109481107681,0.07651497227905485,0.08794325236354228,True,0.03318650342235976,0.045666022502638605,True
elaborate_prompt,baseline,neuroticism,high,-0.2123450390134647,0.34375,0.04332924825225157,-0.22264841682530678,-0.20247153580740002,True,0.03792940894385193,0.048584902769751685,True
elaborate_prompt,baseline,neuroticism,low,-0.04240417233800142,0.0625,0.01209670026857226,-0.04763380820625689,-0.03757926716169834,True,0.007791392938512529,0.015942691968745485,True
elaborate_prompt,baseline,openness,high,0.0082138926844465,0.02499999999999905,0.03389011438352692,0.002371808459250375,0.01395264003018385,True,0.028152156756687252,0.039549902346328145,True
elaborate_prompt,baseline,openness,low,0.11342839190962473,0.17500000000000046,0.05899446483952256,0.10651135899025771,0.12065547432404544,True,0.05176677297178181,0.06623034643154523,True
elaborate_prompt_as_pas,baseline,agreeableness,high,-0.11727274247671815,0.1944444444444446,0.06544534715100511,-0.12628441537074026,-0.10773335883883156,True,0.057925896507120905,0.07301852349465152,True
elaborate_prompt_as_pas,baseline,agreeableness,low,0.03342708071138678,0.11111111111111084,0.06572978202232543,0.026060029940901425,0.040436427654387555,True,0.05696590885374758,0.07560876409407091,True
elaborate_prompt_as_pas,baseline,conscientiousness,high,-0.020417309327557587,0.08333333333333345,0.05822588693264198,-0.02557463699894339,-0.01481331895141158,True,0.05308976244367653,0.0639911131318987,True
elaborate_prompt_as_pas,baseline,conscientiousness,low,-0.035912975490247745,0.02777777777777806,0.0705351394896753,-0.04497692067942902,-0.02793379073090787,True,0.06154231277018042,0.08052554008853177,True
elaborate_prompt_as_pas,baseline,extraversion,high,-0.05631683657307984,0.125,0.06868316342692,-0.06452275695212509,-0.04860097631949042,True,0.0604772430478749,0.07639902368050958,True
elaborate_prompt_as_pas,baseline,extraversion,low,0.07985178477088128,0.125,0.04070842321795416,0.0739437951895239,0.08579348193850439,True,0.03440106406706285,0.046609618441792025,True
elaborate_prompt_as_pas,baseline,neuroticism,high,-0.1972522846923458,0.34375,0.05842200257337034,-0.2070620137691984,-0.18803285136197706,True,0.05235641926033006,0.06488756295751182,True
elaborate_prompt_as_pas,baseline,neuroticism,low,-0.024417326223258207,0.0625,0.0303702967560758,-0.029965254003428227,-0.01930755252221507,True,0.025059424334428905,0.03487972002272084,True
elaborate_prompt_as_pas,baseline,openness,high,0.02991909776312085,0.02499999999999905,0.05607152308327347,0.022506765399480596,0.037255681379096156,True,0.04914882759138561,0.06332952869700338,True
