condition,reference_condition,trait,target_direction,metric,n_paired_scenarios,mean_delta,ci,ci_lower,ci_upper,n_bootstrap,seed
as_pas_only,baseline,agreeableness,high,consistency,150,0.02209080209125703,0.95,0.016633318869381866,0.02799603204926633,500,42
as_pas_only,baseline,agreeableness,low,consistency,150,-0.02960909617105212,0.95,-0.034821207535536844,-0.024354346590765796,500,42
as_pas_only,baseline,conscientiousness,high,consistency,150,0.023059491985078773,0.95,0.018805252630391102,0.027723291269299285,500,42
as_pas_only,baseline,conscientiousness,low,consistency,150,-0.02416551414324701,0.95,-0.02842738544235359,-0.020157309046002384,500,42
as_pas_only,baseline,extraversion,high,consistency,150,0.04052051557317792,0.95,0.03668262499568323,0.04472600296274812,500,42
as_pas_only,baseline,extraversion,low,consistency,150,-0.025273681674266454,0.95,-0.02842557896862808,-0.0219255875032886,500,42
as_pas_only,baseline,neuroticism,high,consistency,150,-0.03246272438052712,0.95,-0.036889550992184786,-0.028363853594340294,500,42
as_pas_only,baseline,neuroticism,low,consistency,150,0.01711138708296671,0.95,0.012337372882549984,0.022171531760666253,500,42
as_pas_only,baseline,openness,high,consistency,150,0.03663826123613328,0.95,0.03199561794959127,0.04097074860176014,500,42
as_pas_only,baseline,openness,low,consistency,150,-0.05738053850567328,0.95,-0.06393402288713104,-0.05135692667988505,500,42
elaborate_prompt,baseline,agreeableness,high,consistency,150,-0.12978864858657216,0.95,-0.13852106555099344,-0.12095137029583575,500,42
elaborate_prompt,baseline,agreeableness,low,consistency,150,0.03685727804222453,0.95,0.029563120354715193,0.044266220666470256,500,42
elaborate_prompt,baseline,conscientiousness,high,consistency,150,-0.04510789341061531,0.95,-0.050090089997138446,-0.04021409383415153,500,42
elaborate_prompt,baseline,conscientiousness,low,consistency,150,-0.025265823385773357,0.95,-0.03137789247392675,-0.019155796104343387,500,42
elaborate_prompt,baseline,extraversion,high,consistency,150,-0.07943842529881517,0.95,-0.08531606840806427,-0.0731420782312197,500,42
elaborate_prompt,baseline,extraversion,low,consistency,150,0.08215275326204333,0.95,0.07651497227905485,0.08794325236354228,500,42
elaborate_prompt,baseline,neuroticism,high,consistency,150,-0.2123450390134655,0.95,-0.22264841682530678,-0.20247153580740002,500,42
elaborate_prompt,baseline,neuroticism,low,consistency,150,-0.04240417233800175,0.95,-0.04763380820625689,-0.03757926716169834,500,42
elaborate_prompt,baseline,openness,high,consistency,150,0.008213892684446892,0.95,0.002371808459250375,0.01395264003018385,500,42
elaborate_prompt,baseline,openness,low,consistency,150,0.11342839190962489,0.95,0.10651135899025771,0.12065547432404544,500,42
elaborate_prompt_as_pas,baseline,agreeableness,high,consistency,150,-0.11727274247671794,0.95,-0.12628441537074026,-0.10773335883883156,500,42
elaborate_prompt_as_pas,baseline,agreeableness,low,consistency,150,0.03342708071138671,0.95,0.026060029940901425,0.040436427654387555,500,42
elaborate_prompt_as_pas,baseline,conscientiousness,high,consistency,150,-0.020417309327556976,0.95,-0.02557463699894339,-0.01481331895141158,500,42
