condition,reference_condition,trait,target_direction,n_paired_scenarios,mean_paired_delta_consistency
as_pas_only,baseline,agreeableness,high,150,0.02209080209125703
as_pas_only,baseline,agreeableness,low,150,-0.02960909617105212
as_pas_only,baseline,conscientiousness,high,150,0.023059491985078773
as_pas_only,baseline,conscientiousness,low,150,-0.02416551414324701
as_pas_only,baseline,extraversion,high,150,0.04052051557317792
as_pas_only,baseline,extraversion,low,150,-0.025273681674266454
as_pas_only,baseline,neuroticism,high,150,-0.03246272438052712
as_pas_only,baseline,neuroticism,low,150,0.01711138708296671
as_pas_only,baseline,openness,high,150,0.03663826123613328
as_pas_only,baseline,openness,low,150,-0.05738053850567328
elaborate_prompt,baseline,agreeableness,high,150,-0.12978864858657216
elaborate_prompt,baseline,agreeableness,low,150,0.03685727804222453
elaborate_prompt,baseline,conscientiousness,high,150,-0.04510789341061531
elaborate_prompt,baseline,conscientiousness,low,150,-0.025265823385773357
elaborate_prompt,baseline,extraversion,high,150,-0.07943842529881517
elaborate_prompt,baseline,extraversion,low,150,0.08215275326204333
elaborate_prompt,baseline,neuroticism,high,150,-0.2123450390134655
elaborate_prompt,baseline,neuroticism,low,150,-0.04240417233800175
elaborate_prompt,baseline,openness,high,150,0.008213892684446892
elaborate_prompt,baseline,openness,low,150,0.11342839190962489
elaborate_prompt_as_pas,baseline,agreeableness,high,150,-0.11727274247671794
elaborate_prompt_as_pas,baseline,agreeableness,low,150,0.03342708071138671
elaborate_prompt_as_pas,baseline,conscientiousness,high,150,-0.020417309327556976
elaborate_prompt_as_pas,baseline,conscientiousness,low,150,-0.035912975490247655
elaborate_prompt_as_pas,baseline,extraversion,high,150,-0.05631683657307997
elaborate_prompt_as_pas,baseline,extraversion,low,150,0.079851784770881
elaborate_prompt_as_pas,baseline,neuroticism,high,150,-0.19725228469234668
elaborate_prompt_as_pas,baseline,neuroticism,low,150,-0.024417326223259175
elaborate_prompt_as_pas,baseline,openness,high,150,0.029919097763121436
elaborate_prompt_as_pas,baseline,openness,low,150,0.08994363928595832
one_line_prompt,baseline,agreeableness,high,150,-0.10774728564651066
one_line_prompt,baseline,agreeableness,low,150,-0.2791160655650226
one_line_prompt,baseline,conscientiousness,high,150,-0.329796048061035
one_line_prompt,baseline,conscientiousness,low,150,0.020827409893876048
one_line_prompt,baseline,extraversion,high,150,-0.24521645379494827
one_line_prompt,baseline,extraversion,low,150,0.10359528317714363
one_line_prompt,baseline,neuroticism,high,150,-0.44079296911858656
one_line_prompt,baseline,neuroticism,low,150,-0.07299878428094403
one_line_prompt,baseline,openness,high,150,-0.11507610133216171
one_line_prompt,baseline,openness,low,150,0.1271198139070473
