condition,trait,target_direction,n,pas_loglik_agreement_rate
as_pas_only,agreeableness,high,150,0.30666666666666664
as_pas_only,agreeableness,low,150,0.47333333333333333
as_pas_only,conscientiousness,high,150,0.47333333333333333
as_pas_only,conscientiousness,low,150,0.3466666666666667
as_pas_only,extraversion,high,150,0.36666666666666664
as_pas_only,extraversion,low,150,0.44666666666666666
as_pas_only,neuroticism,high,150,0.30666666666666664
as_pas_only,neuroticism,low,150,0.44666666666666666
as_pas_only,openness,high,150,0.36666666666666664
as_pas_only,openness,low,150,0.46
elaborate_prompt_as_pas,agreeableness,high,150,0.38666666666666666
elaborate_prompt_as_pas,agreeableness,low,150,0.5666666666666667
elaborate_prompt_as_pas,conscientiousness,high,150,0.49333333333333335
elaborate_prompt_as_pas,conscientiousness,low,150,0.4866666666666667
elaborate_prompt_as_pas,extraversion,high,150,0.47333333333333333
elaborate_prompt_as_pas,extraversion,low,150,0.49333333333333335
elaborate_prompt_as_pas,neuroticism,high,150,0.42
elaborate_prompt_as_pas,neuroticism,low,150,0.4866666666666667
elaborate_prompt_as_pas,openness,high,150,0.43333333333333335
elaborate_prompt_as_pas,openness,low,150,0.52
