condition,reference_condition,trait,target_direction,delta_consistency,delta_bfi_target_attainment,delta_trait_target_attainment
as_pas_only,baseline,agreeableness,high,-0.039792896626545615,0.08333333333333379,0.0348026114745254
as_pas_only,baseline,agreeableness,low,0.015538871268045873,0.05555555555555542,0.03839913727853532
as_pas_only,baseline,conscientiousness,high,-0.016757398496848763,0.05555555555555572,0.034367349231470556
as_pas_only,baseline,conscientiousness,low,0.0016385984489140082,0.02777777777777806,0.030747765614819282
as_pas_only,baseline,extraversion,high,0.009270515573177818,0.03125,0.040520515573177915
as_pas_only,baseline,extraversion,low,0.03722631832573331,0.0625,0.025273681674266496
as_pas_only,baseline,neuroticism,high,-0.030348631541343707,0.15625,0.04037085913586451
as_pas_only,baseline,neuroticism,low,0.017111387082966556,0.0,0.029127341607674374
as_pas_only,baseline,openness,high,0.012214828949606238,0.02499999999999905,0.03751326103265492
as_pas_only,baseline,openness,low,0.11195241438863301,0.17500000000000046,0.05812390329905626
elaborate_prompt,baseline,agreeableness,high,-0.12978864858657202,0.1944444444444446,0.05292944104115099
elaborate_prompt,baseline,agreeableness,low,0.03685727804222416,0.11111111111111084,0.05639856687671908
elaborate_prompt,baseline,conscientiousness,high,-0.04510789341061561,0.08333333333333345,0.031558849861479055
elaborate_prompt,baseline,conscientiousness,low,-0.02526582338577399,0.02777777777777806,0.05941507173040235
elaborate_prompt,baseline,extraversion,high,-0.07943842529881451,0.125,0.045561574701184854
elaborate_prompt,baseline,extraversion,low,0.08215275326204374,0.125,0.03961109481107681
elaborate_prompt,baseline,neuroticism,high,-0.2123450390134647,0.34375,0.04332924825225157
elaborate_prompt,baseline,neuroticism,low,-0.04240417233800142,0.0625,0.01209670026857226
elaborate_prompt,baseline,openness,high,0.0082138926844465,0.02499999999999905,0.03389011438352692
elaborate_prompt,baseline,openness,low,0.11342839190962473,0.17500000000000046,0.05899446483952256
elaborate_prompt_as_pas,baseline,agreeableness,high,-0.03589495385008212,0.11111111111111152,0.06544534715100511
elaborate_prompt_as_pas,baseline,agreeableness,low,-0.02657323768811548,0.02777777777777771,0.06572978202232543
elaborate_prompt_as_pas,baseline,conscientiousness,high,-0.07310667910444246,0.1388888888888882,0.05822588693264198
elaborate_prompt_as_pas,baseline,conscientiousness,low,0.016284008846187747,0.08333333333333348,0.0705351394896753
elaborate_prompt_as_pas,baseline,extraversion,high,-0.2438168365730794,0.3125,0.06868316342692
elaborate_prompt_as_pas,baseline,extraversion,low,0.07985178477088128,0.125,0.04070842321795416
elaborate_prompt_as_pas,baseline,neuroticism,high,-0.10350228469234601,0.25,0.05842200257337034
elaborate_prompt_as_pas,baseline,neuroticism,low,0.0024272810796449606,0.03125,0.0303702967560758
elaborate_prompt_as_pas,baseline,openness,high,0.05379948072581764,0.0,0.05607152308327347
elaborate_prompt_as_pas,baseline,openness,low,0.016108505504826676,0.10000000000000057,0.08463485928855581
one_line_prompt,baseline,agreeableness,high,-0.1077472856465106,0.16666666666666627,0.04740730176590985
one_line_prompt,baseline,agreeableness,low,-0.27911606556502233,0.47222222222222116,0.05799947760608598
one_line_prompt,baseline,conscientiousness,high,-0.3297960480610347,0.3611111111111099,0.023758740198270924
one_line_prompt,baseline,conscientiousness,low,0.020827409893876214,0.16666666666666688,0.05154854655523157
one_line_prompt,baseline,extraversion,high,-0.24521645379494794,0.28125,0.03603354620505184
one_line_prompt,baseline,extraversion,low,0.10359528317714406,0.1875,0.03863853720537567
one_line_prompt,baseline,neuroticism,high,-0.440792969118586,0.5625,0.0336313181471305
one_line_prompt,baseline,neuroticism,low,-0.0729987842809432,0.09375,0.012712342040323944
one_line_prompt,baseline,openness,high,-0.11507610133216217,0.15000000000000022,0.03418053387445524
one_line_prompt,baseline,openness,low,0.12711981390704763,0.2000000000000004,0.06605588023579753
