condition,reference_condition,trait,target_direction,metric,n_paired_scenarios,mean_delta,ci,ci_lower,ci_upper,n_bootstrap,seed
as_pas_only,baseline,agreeableness,high,consistency,150,-0.03979289662654574,0.95,-0.04558449655564607,-0.03368855453623665,500,42
as_pas_only,baseline,agreeableness,low,consistency,150,0.015538871268046194,0.95,0.010844024426051396,0.020122353254562554,500,42
as_pas_only,baseline,conscientiousness,high,consistency,150,-0.01675739849684874,0.95,-0.02081734469246751,-0.012631271431703514,500,42
as_pas_only,baseline,conscientiousness,low,consistency,150,0.0016385984489139772,0.95,-0.002161884259365595,0.005169132369556012,500,42
as_pas_only,baseline,extraversion,high,consistency,150,0.009270515573177922,0.95,0.005432624995683246,0.013476002962748122,500,42
as_pas_only,baseline,extraversion,low,consistency,150,0.03722631832573354,0.95,0.03407442103137192,0.040574412496711385,500,42
as_pas_only,baseline,neuroticism,high,consistency,150,-0.030348631541344418,0.95,-0.03950772729448661,-0.02146805122637306,500,42
as_pas_only,baseline,neuroticism,low,consistency,150,0.01711138708296671,0.95,0.012337372882549984,0.022171531760666253,500,42
as_pas_only,baseline,openness,high,consistency,150,0.012214828949607048,0.95,0.007759255018691333,0.01641956604881877,500,42
as_pas_only,baseline,openness,low,consistency,150,0.11195241438863271,0.95,0.10461658845543387,0.11845393254701325,500,42
elaborate_prompt,baseline,agreeableness,high,consistency,150,-0.12978864858657216,0.95,-0.13852106555099344,-0.12095137029583575,500,42
elaborate_prompt,baseline,agreeableness,low,consistency,150,0.03685727804222453,0.95,0.029563120354715193,0.044266220666470256,500,42
elaborate_prompt,baseline,conscientiousness,high,consistency,150,-0.04510789341061531,0.95,-0.050090089997138446,-0.04021409383415153,500,42
elaborate_prompt,baseline,conscientiousness,low,consistency,150,-0.025265823385773357,0.95,-0.03137789247392675,-0.019155796104343387,500,42
elaborate_prompt,baseline,extraversion,high,consistency,150,-0.07943842529881517,0.95,-0.08531606840806427,-0.0731420782312197,500,42
elaborate_prompt,baseline,extraversion,low,consistency,150,0.08215275326204333,0.95,0.07651497227905485,0.08794325236354228,500,42
