condition,reference_condition,trait,target_direction,n_paired_scenarios,mean_paired_delta_consistency
as_pas_only,baseline,agreeableness,high,150,-0.03979289662654574
as_pas_only,baseline,agreeableness,low,150,0.015538871268046194
as_pas_only,baseline,conscientiousness,high,150,-0.01675739849684874
as_pas_only,baseline,conscientiousness,low,150,0.0016385984489139772
as_pas_only,baseline,extraversion,high,150,0.009270515573177922
as_pas_only,baseline,extraversion,low,150,0.03722631832573354
as_pas_only,baseline,neuroticism,high,150,-0.030348631541344418
as_pas_only,baseline,neuroticism,low,150,0.01711138708296671
as_pas_only,baseline,openness,high,150,0.012214828949607048
as_pas_only,baseline,openness,low,150,0.11195241438863271
elaborate_prompt,baseline,agreeableness,high,150,-0.12978864858657216
elaborate_prompt,baseline,agreeableness,low,150,0.03685727804222453
elaborate_prompt,baseline,conscientiousness,high,150,-0.04510789341061531
elaborate_prompt,baseline,conscientiousness,low,150,-0.025265823385773357
elaborate_prompt,baseline,extraversion,high,150,-0.07943842529881517
elaborate_prompt,baseline,extraversion,low,150,0.08215275326204333
elaborate_prompt,baseline,neuroticism,high,150,-0.2123450390134655
elaborate_prompt,baseline,neuroticism,low,150,-0.04240417233800175
elaborate_prompt,baseline,openness,high,150,0.008213892684446892
elaborate_prompt,baseline,openness,low,150,0.11342839190962489
elaborate_prompt_as_pas,baseline,agreeableness,high,150,-0.03589495385008184
elaborate_prompt_as_pas,baseline,agreeableness,low,150,-0.026573237688115887
elaborate_prompt_as_pas,baseline,conscientiousness,high,150,-0.07310667910444157
elaborate_prompt_as_pas,baseline,conscientiousness,low,150,0.016284008846188237
elaborate_prompt_as_pas,baseline,extraversion,high,150,-0.24381683657307993
elaborate_prompt_as_pas,baseline,extraversion,low,150,0.079851784770881
elaborate_prompt_as_pas,baseline,neuroticism,high,150,-0.10350228469234668
elaborate_prompt_as_pas,baseline,neuroticism,low,150,0.0024272810796441362
elaborate_prompt_as_pas,baseline,openness,high,150,0.053799480725817604
elaborate_prompt_as_pas,baseline,openness,low,150,0.016108505504827286
one_line_prompt,baseline,agreeableness,high,150,-0.10774728564651066
one_line_prompt,baseline,agreeableness,low,150,-0.2791160655650226
one_line_prompt,baseline,conscientiousness,high,150,-0.329796048061035
one_line_prompt,baseline,conscientiousness,low,150,0.020827409893876048
one_line_prompt,baseline,extraversion,high,150,-0.24521645379494827
one_line_prompt,baseline,extraversion,low,150,0.10359528317714363
one_line_prompt,baseline,neuroticism,high,150,-0.44079296911858656
one_line_prompt,baseline,neuroticism,low,150,-0.07299878428094403
one_line_prompt,baseline,openness,high,150,-0.11507610133216171
one_line_prompt,baseline,openness,low,150,0.1271198139070473
