condition,trait,target_direction,n,delta_bfi_target,delta_bfi_target_ci_low,delta_bfi_target_ci_high,delta_trait_target,delta_trait_target_ci_low,delta_trait_target_ci_high,co_movement_flag
one_line_prompt,agreeableness,high,150,0.16666666666666663,0.0,0.33333333333333326,0.047407301765909855,0.04119933100187043,0.05364449439546477,trait_only
one_line_prompt,agreeableness,low,150,0.4722222222222222,0.36111111111111116,0.5840277777777771,0.057999477606085974,0.0493960638464134,0.06706927083536245,both_positive
one_line_prompt,conscientiousness,high,150,0.36111111111111105,0.25,0.4722222222222222,0.023758740198270924,0.02032122026022904,0.027573757856443944,both_positive
one_line_prompt,conscientiousness,low,150,0.16666666666666663,-0.02777777777777779,0.33333333333333337,0.0515485465552316,0.04486002233398902,0.05798313124282458,trait_only
one_line_prompt,extraversion,high,150,0.28125,0.125,0.40625,0.03603354620505186,0.0312122719693615,0.04167751583115694,both_positive
one_line_prompt,extraversion,low,150,0.1875,0.09375,0.25,0.03863853720537566,0.03295701819501228,0.044427354205626615,both_positive
one_line_prompt,neuroticism,high,150,0.5625,0.5,0.65625,0.03363131814713052,0.02923128205985081,0.03834400586142466,both_positive
one_line_prompt,neuroticism,low,150,0.09375,0.0,0.21875,0.012712342040323923,0.008216733300224825,0.01680093222079641,trait_only
one_line_prompt,openness,high,150,0.1499999999999999,0.07499999999999996,0.22499999999999998,0.03418053387445523,0.029441055084391755,0.03890587524105177,both_positive
one_line_prompt,openness,low,150,0.20000000000000007,0.125,0.25,0.06605588023579755,0.057909675435383945,0.07487866925963989,both_positive
elaborate_prompt,agreeableness,high,150,0.19444444444444442,0.08333333333333326,0.33333333333333326,0.052929441041150986,0.04483323032955217,0.06104608908266162,both_positive
elaborate_prompt,agreeableness,low,150,0.11111111111111116,-0.02777777777777779,0.2499999999999999,0.05639856687671906,0.047291914333827186,0.06494622424779022,trait_only
elaborate_prompt,conscientiousness,high,150,0.08333333333333326,-0.11111111111111116,0.2222222222222222,0.03155884986147899,0.027443783503167986,0.03618249023937893,trait_only
elaborate_prompt,conscientiousness,low,150,0.02777777777777779,-0.05624999999999999,0.11111111111111116,0.05941507173040236,0.05248461615131117,0.06733037284522275,trait_only
elaborate_prompt,extraversion,high,150,0.125,-0.09375,0.28125,0.04556157470118486,0.039880914112373204,0.05150483925566955,trait_only
elaborate_prompt,extraversion,low,150,0.125,0.03125,0.21875,0.03961109481107684,0.03330862263846258,0.04606300805459737,both_positive
elaborate_prompt,neuroticism,high,150,0.34375,0.21875,0.46875,0.04332924825225158,0.038348653159654106,0.048529886253552514,both_positive
elaborate_prompt,neuroticism,low,150,0.0625,0.0,0.1875,0.012096700268572251,0.008041647983355136,0.016240941877401098,trait_only
elaborate_prompt,openness,high,150,0.02499999999999991,0.0,0.07499999999999996,0.03389011438352692,0.02847457895165235,0.03956431665018823,trait_only
elaborate_prompt,openness,low,150,0.17500000000000004,0.09999999999999998,0.25,0.05899446483952259,0.051831534496446244,0.06649438148025354,both_positive
as_pas_only,agreeableness,high,150,0.08333333333333326,0.0,0.16666666666666663,0.03480261147452541,0.030190938263832384,0.039451684326760356,trait_only
as_pas_only,agreeableness,low,150,0.05555555555555558,0.0,0.13888888888888884,0.03839913727853534,0.032995286125475004,0.04446774984204453,trait_only
as_pas_only,conscientiousness,high,150,0.05555555555555547,0.0,0.11111111111111116,0.03436734923147052,0.03058692106811601,0.038258351503816304,trait_only
as_pas_only,conscientiousness,low,150,0.02777777777777779,0.0,0.08333333333333337,0.030747765614819296,0.027207051239060292,0.034891759410613975,trait_only
as_pas_only,extraversion,high,150,0.03125,0.0,0.09375,0.04052051557317792,0.03676597588520536,0.044555450635663955,trait_only
as_pas_only,extraversion,low,150,0.0625,0.0,0.125,0.025273681674266472,0.02190893758095852,0.028832189350740015,trait_only
as_pas_only,neuroticism,high,150,0.15625,0.0625,0.21875,0.040370859135864516,0.037111711926149135,0.04405086093118338,both_positive
as_pas_only,neuroticism,low,150,0.0,-0.09375,0.09375,0.029127341607674384,0.02549824906005474,0.03290715608910293,trait_only
as_pas_only,openness,high,150,0.02499999999999991,0.0,0.07499999999999996,0.03751326103265494,0.032809596084668956,0.041857835661221116,trait_only
as_pas_only,openness,low,150,0.17500000000000004,0.09999999999999998,0.25,0.05812390329905625,0.05146733375661174,0.06562582320825103,both_positive
elaborate_prompt_as_pas,agreeableness,high,150,0.11111111111111105,-0.02777777777777779,0.25,0.06544534715100513,0.05815981989748222,0.07295895882431863,trait_only
