condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
as_pas_only,agreeableness,high,10,0.9390479359125086,0.5555555555555555,0.5401715985003637,0.05555555555555558,0.040171598500363795
as_pas_only,agreeableness,low,10,0.8808382284611346,0.5555555555555555,0.4363937840166902,-0.05555555555555558,0.06360621598330982
baseline,agreeableness,high,10,0.9338126022858193,0.5555555555555555,0.5044529221869894,0.05555555555555558,0.004452922186989411
baseline,agreeableness,low,10,0.9338126022858193,0.5555555555555555,0.5044529221869894,-0.05555555555555558,-0.0044529221869894055
elaborate_prompt,agreeableness,high,10,0.8439026533986244,0.75,0.5939026533986246,0.25,0.09390265339862448
elaborate_prompt,agreeableness,low,10,0.953455834283754,0.44444444444444453,0.42679494690024783,0.05555555555555558,0.07320505309975223
elaborate_prompt_as_pas,agreeableness,high,10,0.8406979772564783,0.75,0.5906979772564784,0.25,0.09069797725647842
elaborate_prompt_as_pas,agreeableness,low,10,0.9426408696607476,0.44444444444444453,0.40387045430129015,0.05555555555555558,0.09612954569870985
one_line_prompt,agreeableness,high,10,0.852950579319533,0.7222222222222222,0.575172801541755,0.22222222222222227,0.07517280154175503
one_line_prompt,agreeableness,low,10,0.6701316599802994,0.08333333333333334,0.41320167335303387,0.41666666666666663,0.0867983266469661
