condition,reference_condition,trait,target_direction,delta_consistency,delta_bfi_target_attainment,delta_trait_target_attainment
as_loglik,baseline_loglik,agreeableness,high,-0.039792896626545615,0.08333333333333379,0.0348026114745254
as_loglik,baseline_loglik,agreeableness,low,0.015538871268045873,0.05555555555555542,0.03839913727853532
as_loglik,baseline_loglik,conscientiousness,high,-0.016757398496848763,0.05555555555555572,0.034367349231470556
as_loglik,baseline_loglik,conscientiousness,low,0.0016385984489140082,0.02777777777777806,0.030747765614819282
as_loglik,baseline_loglik,extraversion,high,0.009270515573177818,0.03125,0.040520515573177915
as_loglik,baseline_loglik,extraversion,low,0.03722631832573331,0.0625,0.025273681674266496
as_loglik,baseline_loglik,neuroticism,high,-0.030348631541343707,0.15625,0.04037085913586451
as_loglik,baseline_loglik,neuroticism,low,0.017111387082966556,0.0,0.029127341607674374
as_loglik,baseline_loglik,openness,high,0.012214828949606238,0.02499999999999905,0.03751326103265492
as_loglik,baseline_loglik,openness,low,0.11195241438863301,0.17500000000000046,0.05812390329905626
as_pas_final,baseline_loglik,agreeableness,high,-0.28769459417719545,0.08333333333333379,0.5061346065616407
as_pas_final,baseline_loglik,agreeableness,low,-0.4265834830660824,0.05555555555555542,0.4738653934383593
as_pas_final,baseline_loglik,conscientiousness,high,-0.2877939621443292,0.05555555555555572,0.47761267796683043
as_pas_final,baseline_loglik,conscientiousness,low,-0.480386554736921,0.02777777777777806,0.5157206553665029
as_pas_final,baseline_loglik,extraversion,high,-0.20378749071499058,0.03125,0.5103791759516759
as_pas_final,baseline_loglik,extraversion,low,-0.41795415738165725,0.0625,0.4629541573816574
as_pas_final,baseline_loglik,neuroticism,high,-0.358192706793492,0.15625,0.5224815804722245
as_pas_final,baseline_loglik,neuroticism,low,-0.389442706793492,0.0,0.47751841952777546
as_pas_final,baseline_loglik,openness,high,-0.132505985931487,0.02499999999999905,0.4837506492751285
as_pas_final,baseline_loglik,openness,low,-0.3271726525981554,0.17500000000000046,0.4895826840582049
pas_final,baseline_loglik,agreeableness,high,-0.3710279275105256,0.0,0.5061346065616407
pas_final,baseline_loglik,agreeableness,low,-0.4799168163994168,0.0,0.4738653934383593
pas_final,baseline_loglik,conscientiousness,high,-0.3426087769591427,0.0,0.47761267796683043
pas_final,baseline_loglik,conscientiousness,low,-0.5081643325146986,0.0,0.5157206553665029
pas_final,baseline_loglik,extraversion,high,-0.23462082404832396,0.0,0.5103791759516759
pas_final,baseline_loglik,extraversion,low,-0.47795415738165725,0.0,0.4629541573816574
pas_final,baseline_loglik,neuroticism,high,-0.514442706793492,0.0,0.5224815804722245
pas_final,baseline_loglik,neuroticism,low,-0.389442706793492,0.0,0.47751841952777546
pas_final,baseline_loglik,openness,high,-0.15683931926482386,0.0,0.4837506492751285
pas_final,baseline_loglik,openness,low,-0.49750598593148815,0.0,0.4895826840582049
prompt_as_pas_final,baseline_loglik,agreeableness,high,-0.25991681639941466,0.11111111111111152,0.5061346065616407
prompt_as_pas_final,baseline_loglik,agreeableness,low,-0.4532501497327491,0.02777777777777771,0.4738653934383593
prompt_as_pas_final,baseline_loglik,conscientiousness,high,-0.20557173992210298,0.1388888888888882,0.47761267796683043
prompt_as_pas_final,baseline_loglik,conscientiousness,low,-0.42483099918136435,0.08333333333333348,0.5157206553665029
prompt_as_pas_final,baseline_loglik,extraversion,high,0.07371250928500939,0.3125,0.5103791759516759
prompt_as_pas_final,baseline_loglik,extraversion,low,-0.35795415738165726,0.125,0.4629541573816574
prompt_as_pas_final,baseline_loglik,neuroticism,high,-0.264442706793492,0.25,0.5224815804722245
prompt_as_pas_final,baseline_loglik,neuroticism,low,-0.358192706793492,0.03125,0.47751841952777546
prompt_as_pas_final,baseline_loglik,openness,high,-0.15683931926482386,0.0,0.4837506492751285
prompt_as_pas_final,baseline_loglik,openness,low,-0.4001726525981566,0.10000000000000057,0.4895826840582049
prompt_loglik,baseline_loglik,agreeableness,high,-0.12978864858657202,0.1944444444444446,0.05292944104115099
prompt_loglik,baseline_loglik,agreeableness,low,0.03685727804222416,0.11111111111111084,0.05639856687671908
prompt_loglik,baseline_loglik,conscientiousness,high,-0.04510789341061561,0.08333333333333345,0.031558849861479055
prompt_loglik,baseline_loglik,conscientiousness,low,-0.02526582338577399,0.02777777777777806,0.05941507173040235
prompt_loglik,baseline_loglik,extraversion,high,-0.07943842529881451,0.125,0.045561574701184854
prompt_loglik,baseline_loglik,extraversion,low,0.08215275326204374,0.125,0.03961109481107681
prompt_loglik,baseline_loglik,neuroticism,high,-0.2123450390134647,0.34375,0.04332924825225157
prompt_loglik,baseline_loglik,neuroticism,low,-0.04240417233800142,0.0625,0.01209670026857226
prompt_loglik,baseline_loglik,openness,high,0.0082138926844465,0.02499999999999905,0.03389011438352692
prompt_loglik,baseline_loglik,openness,low,0.11342839190962473,0.17500000000000046,0.05899446483952256
