condition,reference_condition,trait,target_direction,delta_consistency,delta_bfi_target_attainment,delta_trait_target_attainment,consistency_ci_lower,consistency_ci_upper,consistency_ci_excludes_zero,trait_target_ci_lower,trait_target_ci_upper,trait_target_ci_excludes_zero
as_loglik,baseline_loglik,agreeableness,high,-0.039792896626545615,0.08333333333333379,0.0348026114745254,-0.04558449655564607,-0.03368855453623665,True,0.030008254232581022,0.03949838589728762,True
as_loglik,baseline_loglik,agreeableness,low,0.015538871268045873,0.05555555555555542,0.03839913727853532,0.010844024426051396,0.020122353254562554,True,0.03297092200841713,0.04439297412808403,True
as_loglik,baseline_loglik,conscientiousness,high,-0.016757398496848763,0.05555555555555572,0.034367349231470556,-0.02081734469246751,-0.012631271431703514,True,0.030918072852403528,0.038154792566830936,True
as_loglik,baseline_loglik,conscientiousness,low,0.0016385984489140082,0.02777777777777806,0.030747765614819282,-0.002161884259365595,0.005169132369556012,False,0.026606122266779057,0.0349287252846374,True
as_loglik,baseline_loglik,extraversion,high,0.009270515573177818,0.03125,0.040520515573177915,0.005432624995683246,0.013476002962748122,True,0.03668262499568324,0.04472600296274812,True
as_loglik,baseline_loglik,extraversion,low,0.03722631832573331,0.0625,0.025273681674266496,0.03407442103137192,0.040574412496711385,True,0.021925587503288598,0.02842557896862808,True
as_loglik,baseline_loglik,neuroticism,high,-0.030348631541343707,0.15625,0.04037085913586451,-0.03950772729448661,-0.02146805122637306,True,0.03662994063614984,0.04409131821887213,True
as_loglik,baseline_loglik,neuroticism,low,0.017111387082966556,0.0,0.029127341607674374,0.012337372882549984,0.022171531760666253,True,0.025187707538929217,0.032864943770988614,True
as_loglik,baseline_loglik,openness,high,0.012214828949606238,0.02499999999999905,0.03751326103265492,0.007759255018691333,0.01641956604881877,True,0.033004447815026663,0.04167455070385713,True
as_loglik,baseline_loglik,openness,low,0.11195241438863301,0.17500000000000046,0.05812390329905626,0.10461658845543387,0.11845393254701325,True,0.051428918900475164,0.06535627689094317,True
as_pas_final,baseline_loglik,agreeableness,high,-0.28769459417719545,0.08333333333333379,0.5061346065616407,-0.2946164838043659,-0.2804996199423825,True,0.495699303438411,0.5157021752749542,True
as_pas_final,baseline_loglik,agreeableness,low,-0.4265834830660824,0.05555555555555542,0.4738653934383593,-0.43314446387758837,-0.4192868192440221,True,0.4479523287301068,0.4944625439194431,True
as_pas_final,baseline_loglik,conscientiousness,high,-0.2877939621443292,0.05555555555555572,0.47761267796683043,-0.29438723595571437,-0.28075283634892556,True,0.46338508168598247,0.4904235720709552,True
as_pas_final,baseline_loglik,conscientiousness,low,-0.480386554736921,0.02777777777777806,0.5157206553665029,-0.4865541207527815,-0.47443250393275044,True,0.5086617599866446,0.5239319422255195,True
as_pas_final,baseline_loglik,extraversion,high,-0.20378749071499058,0.03125,0.5103791759516759,-0.2114678414625031,-0.19576514093085748,True,0.49497236871376704,0.5224841464865506,True
as_pas_final,baseline_loglik,extraversion,low,-0.41795415738165725,0.0625,0.4629541573816574,-0.42540809439767,-0.4110091569000402,True,0.4360857800777652,0.48396546006537683,True
as_pas_final,baseline_loglik,neuroticism,high,-0.358192706793492,0.15625,0.5224815804722245,-0.36316317797599607,-0.35316540657170714,True,0.5158803192479466,0.52908512657514,True
as_pas_final,baseline_loglik,neuroticism,low,-0.389442706793492,0.0,0.47751841952777546,-0.39441792058618425,-0.38449893302309657,True,0.47115821204116015,0.4841157463446657,True
as_pas_final,baseline_loglik,openness,high,-0.132505985931487,0.02499999999999905,0.4837506492751285,-0.14394133896215394,-0.12245995822400141,True,0.46294491897729273,0.500626822471258,True
as_pas_final,baseline_loglik,openness,low,-0.3271726525981554,0.17500000000000046,0.4895826840582049,-0.3351359158143087,-0.31930542140609575,True,0.46634030686263334,0.505921738709475,True
pas_final,baseline_loglik,agreeableness,high,-0.3710279275105256,0.0,0.5061346065616407,-0.37834391655690114,-0.36407384508965324,True,0.4964959569783685,0.515062303808555,True
pas_final,baseline_loglik,agreeableness,low,-0.4799168163994168,0.0,0.4738653934383593,-0.4877489029963975,-0.4722895047384612,True,0.44854913108013295,0.4945825243632564,True
pas_final,baseline_loglik,conscientiousness,high,-0.3426087769591427,0.0,0.47761267796683043,-0.3494035475577792,-0.3360097600760019,True,0.4613183314271131,0.4898264410351029,True
pas_final,baseline_loglik,conscientiousness,low,-0.5081643325146986,0.0,0.5157206553665029,-0.5149401200160226,-0.5017465842757156,True,0.5074349787899256,0.523810095560898,True
pas_final,baseline_loglik,extraversion,high,-0.23462082404832396,0.0,0.5103791759516759,-0.2418000904094082,-0.22741958669678602,True,0.4923663231111918,0.5220009821235526,True
pas_final,baseline_loglik,extraversion,low,-0.47795415738165725,0.0,0.4629541573816574,-0.4863664112925829,-0.4692258267382975,True,0.437301946810272,0.4837529591571634,True
pas_final,baseline_loglik,neuroticism,high,-0.514442706793492,0.0,0.5224815804722245,-0.519432882411831,-0.5090005331665862,True,0.5164910917926736,0.5287448162428159,True
pas_final,baseline_loglik,neuroticism,low,-0.389442706793492,0.0,0.47751841952777546,-0.394881725499599,-0.3847493660801153,True,0.4704123664804638,0.4840245077084455,True
pas_final,baseline_loglik,openness,high,-0.15683931926482386,0.0,0.4837506492751285,-0.1675037538646617,-0.1464489617906783,True,0.4645271164395404,0.5018982763011763,True
pas_final,baseline_loglik,openness,low,-0.49750598593148815,0.0,0.4895826840582049,-0.507465281749284,-0.4863001990228074,True,0.46471975855919306,0.5073361323461643,True
prompt_as_pas_final,baseline_loglik,agreeableness,high,-0.25991681639941466,0.11111111111111152,0.5061346065616407,-0.26752393873067815,-0.2529733067036325,True,0.4970541716471132,0.5154101340950532,True
prompt_as_pas_final,baseline_loglik,agreeableness,low,-0.4532501497327491,0.02777777777777771,0.4738653934383593,-0.4598273522414647,-0.4457250170511121,True,0.44875481116042093,0.4954868517440665,True
prompt_as_pas_final,baseline_loglik,conscientiousness,high,-0.20557173992210298,0.1388888888888882,0.47761267796683043,-0.21558878455469144,-0.19797874564362467,True,0.45899565337135206,0.49117060437126725,True
prompt_as_pas_final,baseline_loglik,conscientiousness,low,-0.42483099918136435,0.08333333333333348,0.5157206553665029,-0.43170971916222645,-0.4178921124814703,True,0.5072125489090739,0.5240868689899498,True
prompt_as_pas_final,baseline_loglik,extraversion,high,0.07371250928500939,0.3125,0.5103791759516759,0.05922243250819161,0.08466169017588504,True,0.49418768807663693,0.5221616901758851,True
prompt_as_pas_final,baseline_loglik,extraversion,low,-0.35795415738165726,0.125,0.4629541573816574,-0.3646476576789099,-0.3509307488124551,True,0.43506503782451983,0.48362957017310654,True
prompt_as_pas_final,baseline_loglik,neuroticism,high,-0.264442706793492,0.25,0.5224815804722245,-0.2692400815407034,-0.2594627747052717,True,0.5161584959498969,0.5288195194725603,True
prompt_as_pas_final,baseline_loglik,neuroticism,low,-0.358192706793492,0.03125,0.47751841952777546,-0.3628989166189237,-0.353405064903217,True,0.4706032591805882,0.4838048842364158,True
prompt_as_pas_final,baseline_loglik,openness,high,-0.15683931926482386,0.0,0.4837506492751285,-0.16706349340979004,-0.14699876906414444,True,0.4612822328086426,0.4996940569658136,True
prompt_as_pas_final,baseline_loglik,openness,low,-0.4001726525981566,0.10000000000000057,0.4895826840582049,-0.4084089340069744,-0.39153285509009006,True,0.46798830127391094,0.50653553633264,True
prompt_loglik,baseline_loglik,agreeableness,high,-0.12978864858657202,0.1944444444444446,0.05292944104115099,-0.13834839393622547,-0.12178326071290572,True,0.044985419279072486,0.060416206771999305,True
prompt_loglik,baseline_loglik,agreeableness,low,0.03685727804222416,0.11111111111111084,0.05639856687671908,0.029422498230883366,0.044065493875262735,True,0.04770080416080206,0.06490205938010629,True
prompt_loglik,baseline_loglik,conscientiousness,high,-0.04510789341061561,0.08333333333333345,0.031558849861479055,-0.05019499194424494,-0.039628173986039975,True,0.027243122147997526,0.035486053568215686,True
prompt_loglik,baseline_loglik,conscientiousness,low,-0.02526582338577399,0.02777777777777806,0.05941507173040235,-0.033388189206652,-0.018592990847251453,True,0.05138813138434004,0.06806793907544956,True
prompt_loglik,baseline_loglik,extraversion,high,-0.07943842529881451,0.125,0.045561574701184854,-0.08566768543719366,-0.0732056369931725,True,0.03933231456280632,0.05179436300682749,True
prompt_loglik,baseline_loglik,extraversion,low,0.08215275326204374,0.125,0.03961109481107681,0.07563227865509166,0.08740077581175235,True,0.03357092300220266,0.046094969995023286,True
prompt_loglik,baseline_loglik,neuroticism,high,-0.2123450390134647,0.34375,0.04332924825225157,-0.2219080637368033,-0.2038133795572265,True,0.038116048422752666,0.04825528830857634,True
prompt_loglik,baseline_loglik,neuroticism,low,-0.04240417233800142,0.0625,0.01209670026857226,-0.04717211097351627,-0.037161449984031286,True,0.00811786980268382,0.016020498440110286,True
prompt_loglik,baseline_loglik,openness,high,0.0082138926844465,0.02499999999999905,0.03389011438352692,0.0029578129661800147,0.013857236059402884,True,0.02861849991998476,0.03960927347085605,True
prompt_loglik,baseline_loglik,openness,low,0.11342839190962473,0.17500000000000046,0.05899446483952256,0.10659163355492068,0.12052862221577798,True,0.051946750580936396,0.06657734047473979,True
