condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
as_loglik,agreeableness,high,150,0.8867905864395368,0.638888888888887,0.5286680049128847,0.1388888888888892,0.02866800491288476
as_loglik,agreeableness,low,150,0.9421223543341283,0.5,0.4554662561598239,0.0,0.044533743840175964
as_loglik,conscientiousness,high,150,0.9080736006845156,0.638888888888887,0.5500880045979737,0.1388888888888892,0.05008800459797346
as_loglik,conscientiousness,low,150,0.9264695976302784,0.5555555555555568,0.4849728897516836,-0.05555555555555542,0.015027110248316383
as_loglik,extraversion,high,150,0.8672246729548351,0.65625,0.5234746729548356,0.15625,0.02347467295483534
as_loglik,extraversion,low,150,0.8951804757073906,0.5625,0.4576804757073908,-0.0625,0.04231952429260907
as_loglik,neuroticism,high,150,0.9215940752521483,0.59375,0.5178892786636399,0.09375,0.017889278663639978
as_loglik,neuroticism,low,150,0.9690540938764586,0.4375,0.4483910779201008,0.0625,0.0516089220798989
as_loglik,openness,high,150,0.8393874815477617,0.7000000000000018,0.5404292784241929,0.1999999999999995,0.040429278424193076
as_loglik,openness,low,150,0.9391250669867884,0.5,0.4447921140924818,0.0,0.05520788590751811
as_pas_final,agreeableness,high,150,0.638888888888887,0.638888888888887,1.0,0.1388888888888892,0.5
as_pas_final,agreeableness,low,150,0.5,0.5,0.02,0.0,0.48
as_pas_final,conscientiousness,high,150,0.6370370370370352,0.638888888888887,0.9933333333333333,0.1388888888888892,0.49333333333333335
as_pas_final,conscientiousness,low,150,0.44444444444444337,0.5555555555555568,0.0,-0.05555555555555542,0.5
as_pas_final,extraversion,high,150,0.6541666666666667,0.65625,0.9933333333333333,0.15625,0.49333333333333335
as_pas_final,extraversion,low,150,0.44,0.5625,0.02,-0.0625,0.48
as_pas_final,neuroticism,high,150,0.59375,0.59375,1.0,0.09375,0.5
as_pas_final,neuroticism,low,150,0.5625,0.4375,0.0,0.0625,0.5
as_pas_final,openness,high,150,0.6946666666666684,0.7000000000000018,0.9866666666666667,0.1999999999999995,0.4866666666666667
as_pas_final,openness,low,150,0.5,0.5,0.013333333333333334,0.0,0.4866666666666667
baseline_loglik,agreeableness,high,150,0.9265834830660824,0.5555555555555568,0.4938653934383596,0.05555555555555542,-0.006134606561640644
baseline_loglik,agreeableness,low,150,0.9265834830660824,0.5555555555555568,0.4938653934383596,-0.05555555555555542,0.006134606561640641
baseline_loglik,conscientiousness,high,150,0.9248309991813644,0.5833333333333328,0.5157206553665028,0.08333333333333348,0.015720655366502908
baseline_loglik,conscientiousness,low,150,0.9248309991813644,0.5833333333333328,0.5157206553665028,-0.08333333333333348,-0.0157206553665029
baseline_loglik,extraversion,high,150,0.8579541573816573,0.625,0.48295415738165776,0.125,-0.017045842618342574
baseline_loglik,extraversion,low,150,0.8579541573816573,0.625,0.48295415738165776,-0.125,0.017045842618342577
baseline_loglik,neuroticism,high,150,0.951942706793492,0.4375,0.4775184195277754,-0.0625,-0.02248158047222453
baseline_loglik,neuroticism,low,150,0.951942706793492,0.4375,0.4775184195277754,0.0625,0.022481580472224528
baseline_loglik,openness,high,150,0.8271726525981554,0.6749999999999982,0.5029160173915381,0.17500000000000046,0.0029160173915381564
baseline_loglik,openness,low,150,0.8271726525981554,0.6749999999999982,0.5029160173915381,-0.17500000000000046,-0.0029160173915381564
pas_final,agreeableness,high,150,0.5555555555555568,0.5555555555555568,1.0,0.05555555555555542,0.5
pas_final,agreeableness,low,150,0.4466666666666656,0.5555555555555568,0.02,-0.05555555555555542,0.48
pas_final,conscientiousness,high,150,0.5822222222222216,0.5833333333333328,0.9933333333333333,0.08333333333333348,0.49333333333333335
pas_final,conscientiousness,low,150,0.41666666666666574,0.5833333333333328,0.0,-0.08333333333333348,0.5
pas_final,extraversion,high,150,0.6233333333333333,0.625,0.9933333333333333,0.125,0.49333333333333335
pas_final,extraversion,low,150,0.38,0.625,0.02,-0.125,0.48
pas_final,neuroticism,high,150,0.4375,0.4375,1.0,-0.0625,0.5
pas_final,neuroticism,low,150,0.5625,0.4375,0.0,0.0625,0.5
pas_final,openness,high,150,0.6703333333333316,0.6749999999999982,0.9866666666666667,0.17500000000000046,0.4866666666666667
