condition,reference_condition,trait,target_direction,metric,n_paired_scenarios,mean_delta,ci,ci_lower,ci_upper,n_bootstrap,seed
as_loglik,baseline_loglik,agreeableness,high,consistency,150,-0.03979289662654574,0.95,-0.04558449655564607,-0.03368855453623665,500,42
as_loglik,baseline_loglik,agreeableness,low,consistency,150,0.015538871268046194,0.95,0.010844024426051396,0.020122353254562554,500,42
as_loglik,baseline_loglik,conscientiousness,high,consistency,150,-0.01675739849684874,0.95,-0.02081734469246751,-0.012631271431703514,500,42
as_loglik,baseline_loglik,conscientiousness,low,consistency,150,0.0016385984489139772,0.95,-0.002161884259365595,0.005169132369556012,500,42
as_loglik,baseline_loglik,extraversion,high,consistency,150,0.009270515573177922,0.95,0.005432624995683246,0.013476002962748122,500,42
as_loglik,baseline_loglik,extraversion,low,consistency,150,0.03722631832573354,0.95,0.03407442103137192,0.040574412496711385,500,42
as_loglik,baseline_loglik,neuroticism,high,consistency,150,-0.030348631541344418,0.95,-0.03950772729448661,-0.02146805122637306,500,42
as_loglik,baseline_loglik,neuroticism,low,consistency,150,0.01711138708296671,0.95,0.012337372882549984,0.022171531760666253,500,42
as_loglik,baseline_loglik,openness,high,consistency,150,0.012214828949607048,0.95,0.007759255018691333,0.01641956604881877,500,42
as_loglik,baseline_loglik,openness,low,consistency,150,0.11195241438863271,0.95,0.10461658845543387,0.11845393254701325,500,42
as_pas_final,baseline_loglik,agreeableness,high,consistency,150,-0.28769459417719384,0.95,-0.2946164838043659,-0.2804996199423825,500,42
as_pas_final,baseline_loglik,agreeableness,low,consistency,150,-0.4265834830660822,0.95,-0.43314446387758837,-0.4192868192440221,500,42
as_pas_final,baseline_loglik,conscientiousness,high,consistency,150,-0.28779396214432734,0.95,-0.29438723595571437,-0.28075283634892556,500,42
as_pas_final,baseline_loglik,conscientiousness,low,consistency,150,-0.4803865547369197,0.95,-0.4865541207527815,-0.47443250393275044,500,42
as_pas_final,baseline_loglik,extraversion,high,consistency,150,-0.20378749071499078,0.95,-0.2114678414625031,-0.19576514093085748,500,42
as_pas_final,baseline_loglik,extraversion,low,consistency,150,-0.4179541573816575,0.95,-0.42540809439767,-0.4110091569000402,500,42
as_pas_final,baseline_loglik,neuroticism,high,consistency,150,-0.3581927067934925,0.95,-0.36316317797599607,-0.35316540657170714,500,42
as_pas_final,baseline_loglik,neuroticism,low,consistency,150,-0.3894427067934924,0.95,-0.39441792058618425,-0.38449893302309657,500,42
as_pas_final,baseline_loglik,openness,high,consistency,150,-0.13250598593148843,0.95,-0.14394133896215394,-0.12245995822400141,500,42
as_pas_final,baseline_loglik,openness,low,consistency,150,-0.3271726525981552,0.95,-0.3351359158143087,-0.31930542140609575,500,42
pas_final,baseline_loglik,agreeableness,high,consistency,150,-0.3710279275105266,0.95,-0.37834391655690114,-0.36407384508965324,500,42
pas_final,baseline_loglik,agreeableness,low,consistency,150,-0.47991681639941625,0.95,-0.4877489029963975,-0.4722895047384612,500,42
pas_final,baseline_loglik,conscientiousness,high,consistency,150,-0.34260877695914205,0.95,-0.3494035475577792,-0.3360097600760019,500,42
pas_final,baseline_loglik,conscientiousness,low,consistency,150,-0.5081643325146977,0.95,-0.5149401200160226,-0.5017465842757156,500,42
pas_final,baseline_loglik,extraversion,high,consistency,150,-0.23462082404832416,0.95,-0.2418000904094082,-0.22741958669678602,500,42
pas_final,baseline_loglik,extraversion,low,consistency,150,-0.4779541573816577,0.95,-0.4863664112925829,-0.4692258267382975,500,42
pas_final,baseline_loglik,neuroticism,high,consistency,150,-0.5144427067934922,0.95,-0.519432882411831,-0.5090005331665862,500,42
pas_final,baseline_loglik,neuroticism,low,consistency,150,-0.3894427067934924,0.95,-0.394881725499599,-0.3847493660801153,500,42
pas_final,baseline_loglik,openness,high,consistency,150,-0.15683931926482178,0.95,-0.1675037538646617,-0.1464489617906783,500,42
pas_final,baseline_loglik,openness,low,consistency,150,-0.4975059859314886,0.95,-0.507465281749284,-0.4863001990228074,500,42
prompt_as_pas_final,baseline_loglik,agreeableness,high,consistency,150,-0.25991681639941594,0.95,-0.26752393873067815,-0.2529733067036325,500,42
prompt_as_pas_final,baseline_loglik,agreeableness,low,consistency,150,-0.453250149732749,0.95,-0.4598273522414647,-0.4457250170511121,500,42
prompt_as_pas_final,baseline_loglik,conscientiousness,high,consistency,150,-0.205571739922105,0.95,-0.21558878455469144,-0.19797874564362467,500,42
prompt_as_pas_final,baseline_loglik,conscientiousness,low,consistency,150,-0.42483099918136435,0.95,-0.43170971916222645,-0.4178921124814703,500,42
prompt_as_pas_final,baseline_loglik,extraversion,high,consistency,150,0.07371250928500925,0.95,0.05922243250819161,0.08466169017588504,500,42
prompt_as_pas_final,baseline_loglik,extraversion,low,consistency,150,-0.3579541573816576,0.95,-0.3646476576789099,-0.3509307488124551,500,42
prompt_as_pas_final,baseline_loglik,neuroticism,high,consistency,150,-0.2644427067934925,0.95,-0.2692400815407034,-0.2594627747052717,500,42
prompt_as_pas_final,baseline_loglik,neuroticism,low,consistency,150,-0.3581927067934925,0.95,-0.3628989166189237,-0.353405064903217,500,42
prompt_as_pas_final,baseline_loglik,openness,high,consistency,150,-0.15683931926482178,0.95,-0.16706349340979004,-0.14699876906414444,500,42
prompt_as_pas_final,baseline_loglik,openness,low,consistency,150,-0.4001726525981549,0.95,-0.4084089340069744,-0.39153285509009006,500,42
prompt_loglik,baseline_loglik,agreeableness,high,consistency,150,-0.12978864858657216,0.95,-0.13834839393622547,-0.12178326071290572,500,42
prompt_loglik,baseline_loglik,agreeableness,low,consistency,150,0.03685727804222453,0.95,0.029422498230883366,0.044065493875262735,500,42
prompt_loglik,baseline_loglik,conscientiousness,high,consistency,150,-0.04510789341061531,0.95,-0.05019499194424494,-0.039628173986039975,500,42
