condition,reference_condition,trait,target_direction,n_paired_scenarios,mean_paired_delta_consistency
as_loglik,baseline_loglik,agreeableness,high,150,-0.03979289662654574
as_loglik,baseline_loglik,agreeableness,low,150,0.015538871268046194
as_loglik,baseline_loglik,conscientiousness,high,150,-0.01675739849684874
as_loglik,baseline_loglik,conscientiousness,low,150,0.0016385984489139772
as_loglik,baseline_loglik,extraversion,high,150,0.009270515573177922
as_loglik,baseline_loglik,extraversion,low,150,0.03722631832573354
as_loglik,baseline_loglik,neuroticism,high,150,-0.030348631541344418
as_loglik,baseline_loglik,neuroticism,low,150,0.01711138708296671
as_loglik,baseline_loglik,openness,high,150,0.012214828949607048
as_loglik,baseline_loglik,openness,low,150,0.11195241438863271
as_pas_final,baseline_loglik,agreeableness,high,150,-0.28769459417719384
as_pas_final,baseline_loglik,agreeableness,low,150,-0.4265834830660822
as_pas_final,baseline_loglik,conscientiousness,high,150,-0.28779396214432734
as_pas_final,baseline_loglik,conscientiousness,low,150,-0.4803865547369197
as_pas_final,baseline_loglik,extraversion,high,150,-0.20378749071499078
as_pas_final,baseline_loglik,extraversion,low,150,-0.4179541573816575
as_pas_final,baseline_loglik,neuroticism,high,150,-0.3581927067934925
as_pas_final,baseline_loglik,neuroticism,low,150,-0.3894427067934924
as_pas_final,baseline_loglik,openness,high,150,-0.13250598593148843
as_pas_final,baseline_loglik,openness,low,150,-0.3271726525981552
pas_final,baseline_loglik,agreeableness,high,150,-0.3710279275105266
pas_final,baseline_loglik,agreeableness,low,150,-0.47991681639941625
pas_final,baseline_loglik,conscientiousness,high,150,-0.34260877695914205
pas_final,baseline_loglik,conscientiousness,low,150,-0.5081643325146977
pas_final,baseline_loglik,extraversion,high,150,-0.23462082404832416
pas_final,baseline_loglik,extraversion,low,150,-0.4779541573816577
pas_final,baseline_loglik,neuroticism,high,150,-0.5144427067934922
pas_final,baseline_loglik,neuroticism,low,150,-0.3894427067934924
pas_final,baseline_loglik,openness,high,150,-0.15683931926482178
pas_final,baseline_loglik,openness,low,150,-0.4975059859314886
prompt_as_pas_final,baseline_loglik,agreeableness,high,150,-0.25991681639941594
prompt_as_pas_final,baseline_loglik,agreeableness,low,150,-0.453250149732749
prompt_as_pas_final,baseline_loglik,conscientiousness,high,150,-0.205571739922105
prompt_as_pas_final,baseline_loglik,conscientiousness,low,150,-0.42483099918136435
prompt_as_pas_final,baseline_loglik,extraversion,high,150,0.07371250928500925
prompt_as_pas_final,baseline_loglik,extraversion,low,150,-0.3579541573816576
prompt_as_pas_final,baseline_loglik,neuroticism,high,150,-0.2644427067934925
prompt_as_pas_final,baseline_loglik,neuroticism,low,150,-0.3581927067934925
prompt_as_pas_final,baseline_loglik,openness,high,150,-0.15683931926482178
prompt_as_pas_final,baseline_loglik,openness,low,150,-0.4001726525981549
prompt_loglik,baseline_loglik,agreeableness,high,150,-0.12978864858657216
prompt_loglik,baseline_loglik,agreeableness,low,150,0.03685727804222453
prompt_loglik,baseline_loglik,conscientiousness,high,150,-0.04510789341061531
prompt_loglik,baseline_loglik,conscientiousness,low,150,-0.025265823385773357
prompt_loglik,baseline_loglik,extraversion,high,150,-0.07943842529881517
prompt_loglik,baseline_loglik,extraversion,low,150,0.08215275326204333
prompt_loglik,baseline_loglik,neuroticism,high,150,-0.2123450390134655
prompt_loglik,baseline_loglik,neuroticism,low,150,-0.04240417233800175
prompt_loglik,baseline_loglik,openness,high,150,0.008213892684446892
prompt_loglik,baseline_loglik,openness,low,150,0.11342839190962489
