condition,trait,target_direction,n,pas_loglik_agreement_rate
as_pas_final,agreeableness,high,150,0.30666666666666664
as_pas_final,agreeableness,low,150,0.47333333333333333
as_pas_final,conscientiousness,high,150,0.47333333333333333
as_pas_final,conscientiousness,low,150,0.3466666666666667
as_pas_final,extraversion,high,150,0.36666666666666664
as_pas_final,extraversion,low,150,0.44666666666666666
as_pas_final,neuroticism,high,150,0.30666666666666664
as_pas_final,neuroticism,low,150,0.44666666666666666
as_pas_final,openness,high,150,0.36666666666666664
as_pas_final,openness,low,150,0.46
pas_final,agreeableness,high,150,0.18666666666666668
pas_final,agreeableness,low,150,0.3
pas_final,conscientiousness,high,150,0.36
pas_final,conscientiousness,low,150,0.15333333333333332
pas_final,extraversion,high,150,0.2
pas_final,extraversion,low,150,0.3333333333333333
pas_final,neuroticism,high,150,0.12666666666666668
pas_final,neuroticism,low,150,0.32
pas_final,openness,high,150,0.18666666666666668
pas_final,openness,low,150,0.22
prompt_as_pas_final,agreeableness,high,150,0.38666666666666666
prompt_as_pas_final,agreeableness,low,150,0.5666666666666667
prompt_as_pas_final,conscientiousness,high,150,0.49333333333333335
prompt_as_pas_final,conscientiousness,low,150,0.4866666666666667
prompt_as_pas_final,extraversion,high,150,0.47333333333333333
prompt_as_pas_final,extraversion,low,150,0.49333333333333335
prompt_as_pas_final,neuroticism,high,150,0.42
prompt_as_pas_final,neuroticism,low,150,0.4866666666666667
prompt_as_pas_final,openness,high,150,0.43333333333333335
prompt_as_pas_final,openness,low,150,0.52
