condition,trait,target_direction,n,delta_bfi_target,delta_bfi_target_ci_low,delta_bfi_target_ci_high,delta_trait_target,delta_trait_target_ci_low,delta_trait_target_ci_high,co_movement_flag
prompt_loglik,agreeableness,high,150,0.19444444444444442,0.05555555555555558,0.3062499999999994,0.052929441041150986,0.044998832234410605,0.06021848931850549,both_positive
prompt_loglik,agreeableness,low,150,0.11111111111111116,-0.028472222222222197,0.22222222222222232,0.05639856687671906,0.04831446851999388,0.0649315974856511,trait_only
prompt_loglik,conscientiousness,high,150,0.08333333333333326,-0.08333333333333337,0.25,0.03155884986147899,0.027383455563139644,0.035862982515784896,trait_only
prompt_loglik,conscientiousness,low,150,0.02777777777777779,-0.08333333333333326,0.11111111111111116,0.05941507173040236,0.05181723917305764,0.06649104989671933,trait_only
prompt_loglik,extraversion,high,150,0.125,-0.09375,0.2820312499999993,0.04556157470118486,0.03954508270715897,0.05149140787354102,trait_only
prompt_loglik,extraversion,low,150,0.125,0.03125,0.21875,0.03961109481107684,0.03386152983559719,0.045966817406669754,both_positive
prompt_loglik,neuroticism,high,150,0.34375,0.21875,0.46875,0.04332924825225158,0.03807289426722292,0.04839089295177678,both_positive
prompt_loglik,neuroticism,low,150,0.0625,0.0,0.1875,0.012096700268572251,0.007916824556274606,0.016134321788931198,trait_only
prompt_loglik,openness,high,150,0.02499999999999991,0.0,0.07499999999999996,0.03389011438352692,0.027860538911717275,0.0397233297935425,trait_only
prompt_loglik,openness,low,150,0.17500000000000004,0.09999999999999998,0.22499999999999998,0.05899446483952259,0.05152432610520727,0.06596968149855403,both_positive
as_loglik,agreeableness,high,150,0.08333333333333326,0.027083333333333275,0.16666666666666663,0.03480261147452541,0.030289970169243445,0.0395097501487069,both_positive
as_loglik,agreeableness,low,150,0.05555555555555558,0.0,0.13888888888888884,0.03839913727853534,0.032531424583686255,0.04480225059769065,trait_only
as_loglik,conscientiousness,high,150,0.05555555555555547,0.0,0.13888888888888884,0.03436734923147052,0.030859703049422642,0.03817622748219709,trait_only
as_loglik,conscientiousness,low,150,0.02777777777777779,0.0,0.08333333333333337,0.030747765614819296,0.02688789361960675,0.034823089158758945,trait_only
as_loglik,extraversion,high,150,0.03125,0.0,0.09375,0.04052051557317792,0.03668753961307379,0.04417590477777801,trait_only
as_loglik,extraversion,low,150,0.0625,0.0,0.125,0.025273681674266472,0.021960188350562487,0.028962902562617306,trait_only
as_loglik,neuroticism,high,150,0.15625,0.0625,0.21875,0.040370859135864516,0.03653447378023449,0.04394258740480697,both_positive
