condition,trait,target_direction,n,parse_success_rate,format_validity_rate,speech_tag_rate,action_tag_rate,mean_response_length_chars,mean_response_length_words
as_pas_only,agreeableness,high,50,0.54,0.54,0.0,0.54,190.48,26.62
as_pas_only,agreeableness,low,50,0.9,0.9,0.0,0.9,142.36,15.98
baseline,agreeableness,high,50,0.7,0.7,0.0,0.7,158.0,19.94
baseline,agreeableness,low,50,0.7,0.7,0.0,0.7,158.0,19.94
elaborate_prompt,agreeableness,high,50,0.36,0.36,0.0,0.36,168.2,25.54
elaborate_prompt,agreeableness,low,50,0.98,0.98,0.0,0.98,158.38,19.44
elaborate_prompt_as_pas,agreeableness,high,50,0.44,0.44,0.16,0.44,214.22,33.8
elaborate_prompt_as_pas,agreeableness,low,50,0.94,0.78,0.0,0.94,129.5,13.94
one_line_prompt,agreeableness,high,50,0.38,0.38,0.0,0.38,156.56,23.3
one_line_prompt,agreeableness,low,50,0.88,0.88,0.0,0.92,155.48,19.56
