condition,trait,target_direction,n,mean_consistency,mean_bfi_score,mean_trait_score,mean_bfi_target_attainment,mean_trait_target_attainment
as_pas_only,agreeableness,high,50,0.9515168519661903,0.5555555555555561,0.5319072346321545,0.05555555555555552,0.031907234632154446
as_pas_only,agreeableness,low,50,0.8930676875909327,0.5555555555555561,0.4492841468088459,-0.05555555555555552,0.050715853191154195
baseline,agreeableness,high,50,0.9330613044341348,0.5555555555555561,0.4951137739084745,0.05555555555555552,-0.004886226091525365
baseline,agreeableness,low,50,0.9330613044341348,0.5555555555555561,0.4951137739084745,-0.05555555555555552,0.004886226091525368
elaborate_prompt,agreeableness,high,50,0.8078118908016911,0.75,0.5578118908016912,0.25,0.057811890801691156
elaborate_prompt,agreeableness,low,50,0.9567918279932428,0.4444444444444441,0.44281998844366094,0.05555555555555552,0.05718001155633901
elaborate_prompt_as_pas,agreeableness,high,50,0.819494894539304,0.75,0.5694948945393038,0.25,0.06949489453930387
elaborate_prompt_as_pas,agreeableness,low,50,0.9528788011520456,0.4444444444444441,0.42907026705648377,0.05555555555555552,0.07092973294351608
one_line_prompt,agreeableness,high,50,0.8253545891026675,0.7222222222222218,0.5475768113248897,0.22222222222222204,0.04757681132488962
one_line_prompt,agreeableness,low,50,0.6451214279373475,0.08333333333333337,0.43821190539598553,0.4166666666666668,0.06178809460401433
