layer,trait_a,trait_b,cosine
18,agreeableness,agreeableness,0.9999999403953552
18,agreeableness,conscientiousness,-0.07799448817968369
18,agreeableness,extraversion,0.28562772274017334
18,agreeableness,neuroticism,-0.018275940790772438
18,agreeableness,openness,0.4995259940624237
18,conscientiousness,agreeableness,-0.07799448817968369
18,conscientiousness,conscientiousness,0.9999998807907104
18,conscientiousness,extraversion,-0.3990412652492523
18,conscientiousness,neuroticism,0.009941525757312775
18,conscientiousness,openness,-0.05628789961338043
18,extraversion,agreeableness,0.28562772274017334
18,extraversion,conscientiousness,-0.3990412652492523
18,extraversion,extraversion,0.9999998807907104
18,extraversion,neuroticism,-0.2247353196144104
18,extraversion,openness,0.5043114423751831
18,neuroticism,agreeableness,-0.018275940790772438
18,neuroticism,conscientiousness,0.009941525757312775
18,neuroticism,extraversion,-0.2247353196144104
18,neuroticism,neuroticism,0.9999999403953552
18,neuroticism,openness,-0.21917715668678284
18,openness,agreeableness,0.4995259940624237
18,openness,conscientiousness,-0.05628789961338043
18,openness,extraversion,0.5043114423751831
18,openness,neuroticism,-0.21917715668678284
18,openness,openness,1.0
21,agreeableness,agreeableness,1.0
21,agreeableness,conscientiousness,0.06523621082305908
21,agreeableness,extraversion,0.3143790662288666
21,agreeableness,neuroticism,-0.09915557503700256
21,agreeableness,openness,0.49799567461013794
21,conscientiousness,agreeableness,0.06523621082305908
21,conscientiousness,conscientiousness,1.0
21,conscientiousness,extraversion,-0.3554726839065552
21,conscientiousness,neuroticism,0.04192468896508217
21,conscientiousness,openness,0.011457351967692375
21,extraversion,agreeableness,0.3143790662288666
21,extraversion,conscientiousness,-0.3554726839065552
21,extraversion,extraversion,1.0
21,extraversion,neuroticism,-0.12771457433700562
21,extraversion,openness,0.5456262826919556
21,neuroticism,agreeableness,-0.09915557503700256
21,neuroticism,conscientiousness,0.04192468896508217
21,neuroticism,extraversion,-0.12771457433700562
21,neuroticism,neuroticism,1.0000001192092896
21,neuroticism,openness,-0.13706417381763458
21,openness,agreeableness,0.49799567461013794
21,openness,conscientiousness,0.011457351967692375
21,openness,extraversion,0.5456262826919556
21,openness,neuroticism,-0.13706417381763458
21,openness,openness,0.9999998807907104
24,agreeableness,agreeableness,1.000000238418579
24,agreeableness,conscientiousness,0.29173654317855835
24,agreeableness,extraversion,0.34303417801856995
24,agreeableness,neuroticism,0.01984933763742447
24,agreeableness,openness,0.5620788335800171
24,conscientiousness,agreeableness,0.29173654317855835
24,conscientiousness,conscientiousness,1.0
24,conscientiousness,extraversion,-0.31974971294403076
24,conscientiousness,neuroticism,-0.0584220215678215
24,conscientiousness,openness,0.08250704407691956
24,extraversion,agreeableness,0.34303417801856995
24,extraversion,conscientiousness,-0.31974971294403076
24,extraversion,extraversion,1.0000001192092896
24,extraversion,neuroticism,0.03864200785756111
24,extraversion,openness,0.6195873022079468
24,neuroticism,agreeableness,0.01984933763742447
24,neuroticism,conscientiousness,-0.0584220215678215
24,neuroticism,extraversion,0.03864200785756111
24,neuroticism,neuroticism,0.9999999403953552
24,neuroticism,openness,0.010707968845963478
24,openness,agreeableness,0.5620788335800171
24,openness,conscientiousness,0.08250704407691956
24,openness,extraversion,0.6195873022079468
24,openness,neuroticism,0.010707968845963478
24,openness,openness,0.9999999403953552
